"pyrD",-2.1,-1.3,-2.4,1.4,-1.1,-3,-2.2,-2.4
"clsC",-4.2,-6.4,-4.9,1.2,-2,-2.7,-3.6,-2.2
"ymfJ",-3.5,-1.6,-3,1.5,-1.4,-2.9,-2.3,-1.4
"ybjI",-3.7,-1.2,-11.2,-1.5,-1.6,-3,-1.8,-1.5
"elfG",-4.8,-2.4,-13,-3,-2.7,1.3,-4.8,-2.1
"csgB",-4.1,-3.2,-5.2,-1.6,-3.4,-1.5,-6.4,-2.7
"intE",-2.8,-1.4,-1.9,-1.3,-2.3,-1.4,-2.9,-1.9
"deoR",-3.8,-2.8,-3,-1.2,-2,-1.5,-2.8,-2.5
"ssuA",-1.7,-1.2,-2,-1.1,-1.8,-1.1,-3.5,-1.5
"csgG",-2.7,-1.8,-3.1,1.2,-1.6,-1.5,-4.5,-2.4
"icd",2.2,2,2.6,3.5,1.3,1.2,1.6,1.1
"bssR",-1.9,1.1,-1.5,1.4,-1.2,-2.4,-1.6,-1.3
"pepN",-1.1,1.3,1.3,2.2,-1.2,1.1,-1.2,-1.3
"hflD",-1.1,1.7,2.4,3,1.1,1.2,1,-1.4
"gsiD",-1.2,-1,-1.2,1.8,-1.1,-1.2,-2.5,-1.5
"aspC",-1.2,1.2,-1,1.6,1,1,-1.5,1
"ycdU",-3,-1.2,-3.7,1.4,-1.4,-2.7,-3.1,-1.7
"roxA",-2.7,-1.3,-2.4,1.2,-1.6,-2.5,-2.6,-1.7
"iaaA",-1.2,1.2,-1.2,1.8,-1.2,1,-1.2,-1.1
"mukB",1.2,1.5,2.3,3.2,1.4,1.1,1.2,1.5
"pgaB",-4.4,-2.4,-9.3,-1.1,-1.1,-1.6,-1.6,-1.5
"potC",-1.2,1.4,1.3,2.2,1.4,1.1,-1.1,1.2
"adhE",-1.6,1.4,-1.3,-1.1,-1.2,1.4,-1.5,-1.4
"smrA",-1.8,-1.3,-1.5,1,-1.4,1.1,-1.9,-1.6
"dgcZ",-2.9,-1.6,-1.4,1.1,2.6,2.5,1.4,1.7
"1.2.5.5",1.7,1.8,2.6,2.6,1.7,2.1,1.2,1.5
"abgT",-3.6,-2.4,-4.3,-2.6,-2.1,-2.9,-4.9,-2.6
"ydcO",-3.3,-2.1,-3.3,-2.2,-1.8,-3.9,-3.4,-2.4
"marC",-2.3,-1.5,-2.2,-1.3,-1.3,-1.3,-3,-2.2
"ychJ",-1.9,1.4,1,1,-1.1,-1.1,-1.6,-1.2
"ynaJ",1.1,2,1.8,2,1.4,1.4,1.3,1.5
"tehA",-1.4,1,1,1.3,1,1.1,-1.8,-1.6
"sad",-4.1,-1.9,-2.8,-2.3,-1.9,-3,-3.4,-2.2
"tpr",-2.8,-1.9,-2,-1.3,-1.7,-2.6,-3.7,-1.7
"ycjY",-4.6,-2.3,-3.1,-2.6,-2.6,-3.7,-5.2,-2.6
"uxaB",-3.4,-2.1,-1.2,1.1,-1.1,-1.9,-3.1,-2.3
"narH",-3.9,-2.5,-10.8,-3.6,-2.3,-2.2,-4.3,-2
"ycjF",-2.7,-1.6,-9.6,-3.4,-1.6,-1.4,-2.9,-1.7
