"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"yafE",217.3,205.9,393.6,317.5,147.3,192.2,141.5,104,37.9,49.6,57.9,83.1
"mltD",6833.1,933.8,574.9,763.7,9185.2,826.8,552.1,507.6,946.2,452.9,241.7,135.7
"gloB",118.9,164.1,720.1,210.1,182.8,228.1,227.3,296.7,16.6,41.1,216.6,95.8
"yafS",283.7,265.7,280.3,233.9,197.4,218.4,247.5,266,40.3,50.4,108.6,69.5
"rnhA",1366.4,1001.6,573.4,882.1,1426.2,812.6,690.2,922.2,395.2,314.3,294.8,197.6
"dnaQ",1190.3,894.1,1159.4,650.3,1089,1034.8,1311.5,1129.7,166.9,202.5,434.7,371
"aspV",8285.4,5142.2,5403.1,8163.5,17282.1,8127.5,5151.9,2037.5,589.2,942.7,1272.8,2397.6
"yafT",47.4,47.3,92.2,20.1,96.4,117.2,22.8,20.5,12.5,15.1,8.5,3.3
"yafU",62.1,34.4,51.9,97.5,72,103.5,34.7,26.6,1.8,7.3,21.2,1.6
"yafV",434.9,494.3,673.3,702.4,339.5,675.7,826.6,976.6,116.7,162.3,346,143.7
"ivy",711.3,1342.6,7247.9,1289.7,978.5,1076.9,8064.8,1312.4,230.1,272.5,2407.5,231.2
"fadE",325.3,712.7,568.6,2397.6,185.8,470.8,762.4,1830.6,77.2,102.2,457.1,272.6
"gmhA",1244.3,1838.4,3137.6,1128.7,1909.5,2011.7,2612.4,1495.7,291.2,356.7,671.1,266.1
"yafJ",668.4,575.8,543.1,679.5,441.1,216.5,338.4,344.3,120.2,120.6,298.2,150.1
"dpaA",3186.1,792.3,535.5,1302.1,2589.6,1791.7,889.4,1576.4,807.1,253.8,333.2,557.6
"yafQ",754.9,678.9,350.6,715.8,587.6,528.9,289.4,500.9,246.1,137.7,429.7,365.9
"dinJ",1316.8,1135.1,1427.5,2302.7,2113.3,1079.5,1518.7,2253.5,619.3,346.2,1475.3,1220.3
"yafL",128.7,188.6,287.2,364.7,264,427.7,323.1,536.7,31.1,44.3,139.2,104.2
"rayT",115.2,280.5,404,330.8,209.5,293.6,250.7,268.3,33.3,37.7,130.6,74.2
"lfhA",118.4,140,316.8,262.3,25.1,135.4,103.5,274.6,44.8,4.2,132.9,89.8
"lafU",136,204.8,281.4,253.1,158.8,189.3,180.7,160.3,75.7,63.3,83.7,73.7
"dinB",121.6,229.6,204.2,109.3,217.7,366.5,279.2,441.2,55.5,11.6,127.9,109
"yafN",91.5,214.8,269.8,113.7,141.5,181,218.9,192.7,55.4,29.8,165.3,93.3
"yafO",130.3,199.4,161.3,146.2,213.5,198.2,162.7,210.9,59.9,26.5,161.1,92.6
"yafP",187.3,248.7,195.8,217.4,414.4,460.6,243,297.1,149.9,46.6,184,95.5
"ykfJ",NA,NA,NA,NA,NA,NA,NA,NA,58.7,15.3,65.6,45.9
"prfH",33.7,94.5,103.9,150.5,34.6,113.3,40.1,21.9,7.8,5.4,11.4,10.8
"pepD",887.3,1447.3,4233.8,907.6,877.8,1356.5,2247.7,1129.8,503.4,367.7,1540.4,394.7
"gpt",2989.5,1847.3,595.3,617.9,4310.1,784.4,417.5,544.1,1966.9,586.2,238.6,169
"frsA",336.3,496.8,548.2,263.4,324.7,348.3,401.4,473.5,201.8,83.1,323.5,164.9
"crl",1249.8,7693.8,2622.3,11041.7,2271.2,12405.7,8014.5,7605.5,852.5,1354.8,3270.6,3114.4
"phoE",110.1,216.3,135.7,224.3,115.4,223.9,111.1,174.4,38.2,35.2,69.4,45.8
"proB",803.5,474.5,943.6,459.2,727,598.8,807.5,1071.4,142.8,190.3,226.1,142.1
"proA",525,367.6,819,578.7,315.7,196.8,354.6,391.8,70.5,75.2,127.6,103.4
"thrW",1311.3,960.3,1543.1,2444.3,1647.1,1898.6,1128.8,742.9,277,818.7,865.8,1002.6
"ykfI",NA,NA,NA,NA,NA,NA,NA,NA,43.9,30,7.6,11.1
"yafW",230.2,208.5,197.9,300.3,155.1,352.5,20.7,38,18.4,9.1,30.8,8.7
"ykfG",205.9,175.1,139,299.3,233.8,357.2,85.3,118.8,27.1,35.5,32.6,52.8
"yafX",34.6,26.3,21.2,52.1,123.8,78.7,64.6,22,7.6,5.6,6.4,3.9
"ykfF",318,304,269.9,415,497.3,752.4,475.5,438.4,90.5,104.6,200.1,90.2
"ykfB",202.7,699.1,2649.4,1596.7,222.4,377.7,1465.5,1556.1,89.3,221.6,534.7,335.5
"yafY",213.7,349.5,304.5,222.5,213.7,358.9,192.6,126.7,39.8,34.7,125.2,38
"yafZ",149.7,153.4,198.9,86.9,78.9,175.8,19.4,129.9,13.1,6.4,22.6,15
"ykfA",135.4,175,152.1,171.9,218.3,568.5,369.1,458.7,23.7,15.3,50.3,61.4
"perR",314.1,304.8,235.9,382.8,207.6,214.5,103.5,168.8,86,54.1,88.1,53.4
"ykfC",262.1,296.1,410.5,523.8,188.4,609,422.4,620.1,151.2,57.7,283.1,123.2
"mmuP",277.6,418.2,693.3,762.1,209.2,282.6,421.8,417,60.1,70.9,229.9,84.4
"mmuM",184.7,401.4,598.2,346.7,27.4,447.8,259.8,111,13.9,53.9,77,32.8
"afuC",96.9,148.2,128.3,344.7,38.9,137.1,41,217.8,34.1,15.4,91.3,76.6
"afuB",NA,NA,NA,NA,NA,NA,NA,NA,14.9,22.5,5.9,4.4
"insA2",NA,NA,NA,NA,NA,NA,NA,NA,417.1,564.8,362.6,302.2
"yagB",206.5,321.1,420.4,273,200.6,448.2,291.2,371.2,93.6,68.4,193.5,129.6
"yagA",257.8,157.5,198.6,551.3,351,606.1,462,469.9,105,135.5,149.3,65.4
"yagE",138.5,806.3,833.9,366.4,157.6,320.8,219.2,342.9,64.2,57.3,210.3,73.7
"yagF",126.3,469.5,514,361.9,377.6,457.1,504.5,618.5,63.9,84.4,158.4,67.6
"yagG",170.1,198.3,352.1,294.7,162,282.9,305.2,311.9,24.4,22.4,134.3,64.7
"yagH",53.1,57.6,184.2,147.1,79.3,112.6,42.3,140.7,14,6.5,17.4,46.4
"xynR",424.4,526.2,420.6,585.9,289.6,457.9,373.1,383.6,120.9,55.9,164.1,102.8
"argF",39.3,32.3,67,118.6,101.6,139.8,111.7,120,20.9,12.3,34,17.7
"yagJ",192.9,243.5,239.8,187.7,52.3,158.9,72.1,69.4,49.6,12.6,89.9,123.4
"yagK",109.7,129.4,92.3,217.3,125.1,158.4,117,208.9,30.1,18.4,80.5,90.9
"yagL",42.8,59.6,66.2,81.8,73.5,94.3,44.9,13.7,15.7,17.6,31.9,24.8
"yagM",39.3,60.6,62.1,42.7,53,74.5,27.1,32.9,5.5,6.4,5.7,2.5
"yagN",387.6,1110.8,1703.2,944.6,426.7,648.2,730.5,850.2,219.2,458.2,1207.6,794.4
