"","0","0 | 1","0 | 2","0 | 3","0 | 4","900","1800","2700","3600","5400","0 | 5","0 | 6","0 | 7","0 | 8","0 | 9"
"nanA",0.775393206347005,0.684916489982783,1.02811382665607,0.863339558574412,1.19747870461893,1.0111520808513,0.978063473447339,1.04391192742172,0.924022572446823,1.28877463048502,0.813379198132126,0.863339558574412,0.758383772687221,0.764718138941384,0.524858341811534
"waaH",0.837987134667949,0.897510050667261,0.837987134667949,0.897510050667261,0.837987134667949,1.11419365081933,1.19333574303172,1.11419365081933,1.19333574303172,1.11419365081933,0.837987134667949,0.897510050667261,0.837987134667949,0.897510050667261,0.837987134667949
"coaD",0.733058378594605,0.817335328488283,1.16392653440214,0.913198250011992,0.993092495437036,1.05336103595484,1.01395947979003,1.73868912018004,0.858565436437754,1.36983297996557,0.842062953608416,0.839149637106542,0.721464343430814,0.673150034638391,0.560583039014254
"fimF",0.872967591133763,0.649319301364942,1.11419365081933,0.764718138941384,0.873572895916694,1.49174402669147,0.956608158091874,0.65202536762928,1.16877724856125,1.39764697185107,0.666187412546011,0.760489376620505,0.714001989842532,0.910669833591978,0.495858365369147
"ompC",0.599154510669709,0.772710549647987,1.28164792416019,1.00556058039847,1.08372596684478,0.523042469896265,0.781869643128594,0.643940814754913,0.662044455197699,1.05409142329074,1.05775096361843,1.0076537604105,1.08072540203935,0.855595025682602,1.00625782349778
"amiC",0.806082831492968,0.867538687152068,0.806082831492968,0.867538687152068,0.806082831492968,1.15268634679886,1.24056729771539,1.15268634679886,1.24056729771539,1.15268634679886,0.806082831492968,0.867538687152068,0.806082831492968,0.867538687152068,0.806082831492968
"mreC",0.590496330714765,0.464902471306581,1.04463576286423,1.05409142329074,0.794434400096105,0.765778998547191,0.666649338545599,0.656560562712076,0.741233504901418,0.988970916380931,1.06658578083176,1.12505848468881,0.762600826628142,0.792234810924969,0.578344091952644
"waaF",0.680185426202978,0.671286251390132,1.2596299799474,1.07028869842662,0.828170661334546,0.596254436165316,0.74535519339946,0.596667871515861,0.726482524785685,1.02668954572,1.07698637619305,1.17039864147459,1.16634936978847,0.911301280637142,0.76312960448028
"wzzE",0.71301285868207,0.543744195427441,1.12505848468881,0.910038824080899,0.802737388715953,0.794985250948974,0.74535519339946,0.66989180121392,0.735603372927869,0.858565436437754,1.04536010020516,1.11187915751711,1.05482231706806,0.898132372883934,0.556325060292417
"fimH",0.648419777325505,0.570381857934212,1.05921833468388,0.834509281155409,0.698339266233699,0.818469181590804,0.794985250948974,0.651122094784514,0.865136690584988,0.760489376620505,1.02101212570719,0.915099168127928,0.76365874898035,0.794985250948974,0.428688018317086
"rbsB",0.948684315140454,0.768437590644006,1.33792755478611,0.893785162356787,0.81563749333901,0.636397467637971,0.557869661162482,0.329191730514811,0.485317234884773,0.535886731268147,1.14869835499704,1.14076371586842,0.842646829503152,0.733058378594605,0.44288375955118
"malE",0.952637998043937,0.885153764579545,0.952637998043937,0.885153764579545,0.952637998043937,1.12974721457012,1.04971668362307,1.12974721457012,1.04971668362307,1.12974721457012,0.952637998043937,0.885153764579545,0.952637998043937,0.885153764579545,0.952637998043937
"fecD",0.804408370941916,0.838568184440931,0.804408370941916,0.838568184440931,0.804408370941916,1.19250887233063,1.24314966890394,1.19250887233063,1.24314966890394,1.19250887233063,0.804408370941916,0.838568184440931,0.804408370941916,0.838568184440931,0.804408370941916
"ykgG",0.571569167707018,0.806082831492968,0.905006462882905,0.71946679000541,1.12349990303165,1.49071038679892,0.89316585235276,1.16554119813456,1.19997138237322,1.30405073525856,0.816203046150902,0.991716730738293,0.73662384290824,0.833931043824964,0.492774668469685
"abrB",0.819036697859828,0.907519155317161,0.819036697859828,0.907519155317161,0.819036697859828,1.10190511587661,1.22094651266913,1.10190511587661,1.22094651266913,1.10190511587661,0.819036697859828,0.907519155317161,0.819036697859828,0.907519155317161,0.819036697859828
"ycjV",0.851453707748945,0.789493886700555,0.970634469769547,0.658383461029622,0.954621014139717,1.52203338083936,0.950659101229818,1.12038921419418,1.07400447162012,1.41715739650822,0.671286251390132,0.780245480173703,0.720464874418961,0.674083865868528,0.46716367344159
"trkH",1.03813927054306,0.836246399914063,1.03813927054306,0.836246399914063,1.03813927054306,1.19581979677612,0.963261894020148,1.19581979677612,0.963261894020148,1.19581979677612,1.03813927054306,0.836246399914063,1.03813927054306,0.836246399914063,1.03813927054306
"lamB",0.906261938267334,0.919550046151658,0.906261938267334,0.919550046151658,0.906261938267334,1.08748839085488,1.10343374004196,1.08748839085488,1.10343374004196,1.08748839085488,0.906261938267334,0.919550046151658,0.906261938267334,0.919550046151658,0.906261938267334
"fecB",0.705637921704346,1.05848439487513,1.04102159768411,0.675018992561373,1.20915567583336,1.42800397968506,0.866336856400087,1.23114441334492,1.35660432744767,1.61440214900953,0.752623373705534,1.25788497183602,0.693515484565693,0.953298545288159,0.598324481615357
