"","0","0 | 1","420","420 | 1","600","600 | 1","600 | 2","1800","1800 | 1","0 | 2","0 | 3","420 | 2","420 | 3","600 | 3","600 | 4","1800 | 2","1800 | 3"
"yajD",0.918433391391548,0.922198181507861,0.73649467528321,1.40531894468658,0.883468131578832,0.81568794281972,0.710789001059397,0.870945892914268,0.654760659070132,0.983384826604957,0.705783727040978,0.850142741795742,0.761452188497609,0.827168986486289,0.628143835262565,0.709630537735953,0.533702533882318
"hyi",2.88032179242203,1.12612269527763,1.19454234798347,2.53647461311717,1.46365953069529,2.07964445201391,0.831050387529434,1.48065856680392,1.89989207058338,0.849138034430613,3.35224767733825,1.6130956645712,1.59196673355585,1.88791393820615,0.877648891001234,1.67558514607447,1.53773230963627
"ybdR",1.41811644436127,0.950738170870555,0.957379420615914,1.72123313785903,1.1582173391183,0.597424017990999,0.80266719055429,0.931366566878641,0.938554348392131,1.0845683686549,0.804100932998138,1.0798874821645,0.863094250240409,0.903289910825987,0.564518107976146,0.997205330637816,0.573722638311099
"abrB",1.38050393480681,1.08292759952917,0.769669508910255,1.54289853963161,1.13637106319416,0.584671518435215,0.711829047006933,1.11993965612343,0.412089703525786,0.492655135089526,0.642643971262297,1.03347214172496,1.46383678514919,0.25141802670492,1.16046352865047,1.04868253456103,0.994856453322257
"tgt",0.903806601651113,0.919144254349682,0.565868604028015,2.00894928867807,0.566132636550309,1.17301144197438,2.10085383601404,0.511766280980772,1.37965486597258,0.717310174717855,0.804751742145985,0.586143169098267,1.72819927595325,0.350858203519929,1.11672421004087,0.174082127687261,2.32717065392462
"allS",1.09074964184814,0.718989308099989,1.41648075432346,1.18277409815283,0.908466990725921,0.892495932952915,1.74805145002689,1.1241269723486,0.834531741617264,1.02237793114947,0.611946435709176,0.84471290680992,0.49882737683693,0.979462660765949,0.522742098841316,0.626027526878957,0.853115662163185
"dsbG",0.925722697190689,1.22285866046333,0.739520989295536,1.35356656367544,0.908979712241917,0.896908784605518,0.993387105265449,1.07363752383717,0.619432249023568,0.996321947870165,0.481649256207334,0.946423433206876,0.982671431397245,0.742999425314497,0.708855597010984,0.866549459110718,0.437415789579221
"pxpB",1.13051802920891,0.943690922622827,1.36223631717134,0.756582670500964,1.25371376110829,0.618932678200822,0.78307084650697,1.39937148571729,0.924030506151742,0.890607088743706,1.11614925515466,1.29931749147453,1.08518972816135,1.05950463568919,0.693124654859938,1.31621028464571,0.666320622705851
"proY",0.624815868802113,0.679242445938751,1.093248220409,0.718306580295012,1.07987475738309,0.424325610693307,0.487538846251932,0.567452288290463,0.479733583399165,0.936032352312127,0.844836322088826,1.24484230919211,0.497098022074187,1.25398579016995,0.705402036523355,2.39798062128595,0.28295112330733
"ybdL",1.16834309704089,1.39691985802316,0.695829138718032,2.60165071351913,1.56357020676824,1.90424223924106,0.614656486585896,1.51308706028631,0.826125115807961,1.84720118022444,0.725760936441273,1.3202050301076,0.977481417969445,1.70628424369074,1.6921200966144,1.52885755945374,0.844739250503252
"ybgA",0.841281194147166,0.814314087477269,0.936472672199458,0.9317882990492,2.00623415771839,0.947225530200091,0.384112679258439,1.22209378193326,0.589695752185439,1.07699384131962,0.653133194951943,1.43451096927013,0.542270187010248,1.1383577322214,0.311669485581623,1.43856957770361,0.488614587581326
"sbcD",0.799319394505753,0.806088007621751,1.06207938187479,1.1771190905927,1.0497740934767,0.690431598042869,0.93687451414228,0.728697022055197,1.13828436718943,0.851661477417937,1.07457247035891,0.872634247435303,1.13130339594509,0.647565486035931,0.905520615674045,0.87836897334911,0.941134086326666
"ybbP",1.4054118810892,0.690948292557714,1.20363586439706,1.43787548915654,0.400068792423493,0.861867385052245,8.45432916465525,0.675726340945652,2.01763965359089,0.733613452784925,1.25757116642881,0.738661863737065,2.03610915246983,0.267841236799005,5.83055881310322,0.240802120229952,6.78193100317875
"entA",1.54417365004808,0.622805654531397,1.6522190833296,0.444270635106123,2.48256243302057,0.22647564225019,0.404285063032999,0.63974017902224,0.984968050085055,0.773723501053162,0.742248352957169,1.56605295804916,0.435299441130067,1.03924744421713,0.512932710776911,1.17434149429277,0.540841037298828
"mak",2.09764421397192,0.763006518275399,1.24184920420091,1.1822331912515,1.32113601124072,0.935021525922683,0.618221149452498,1.03785564955275,0.633760013851744,0.846609158073104,0.977614080199113,2.20920913802304,0.571108546718679,2.33019388488905,0.427834682291102,1.32743571872881,0.527557397626047
"cnoX",1.46193482960139,0.786262251345565,0.669784084476841,2.01207221411182,0.522930092892107,1.00578131711158,2.23884199437692,1.10725690953764,0.856717878538602,1.10269132834031,0.897169314813085,0.897360135507923,1.19426880689024,0.54282158688875,1.50435059799849,0.862196134749823,0.811217485747555
"fepB",1.14669363945031,0.776751794248648,1.07704161935502,1.39946195681093,1.68351899609524,1.31860905260957,0.193072019309099,0.406999802634087,0.741522937339634,0.492819073968699,1.63458452913046,1.14321044273154,0.27382295668444,0.841413575454748,0.183714430041625,0.634269555244517,0.404843034034689
"kdpB",1.14936338864864,0.474012354286817,1.22765739427078,0.45896140828119,0.56834151213827,0.155553616294394,1.01741865411062,0.470585900209491,0.598167036740782,0.438585493549259,0.495131865227093,0.646787185164912,0.375808084524138,0.568163083377185,0.633972224625648,0.450922061152546,0.483180260114681
"ybiW",1.18798695966302,0.778164171016839,1.03555207180098,3.59160236834435,1.17940972885852,1.0441246033638,0.900398632636112,1.050103041879,0.982862511326027,1.05605355568408,0.690384376213875,1.45384654565882,0.959205420764046,0.998794422460456,1.39012800257736,0.810177542336375,1.14235869898464
"elyC",0.700916261112997,0.641193808628566,0.633380343421727,1.62311758257495,0.907409079233285,0.771080324707453,0.907037891061116,0.55829788659465,0.861387149391642,0.869655548906523,0.577341554089949,0.793540631452757,0.865191725580321,0.908985382770127,0.839178440535441,0.92169478946824,0.851445701957756
"efeB",1.40420055175388,0.444427314625436,1.91624894818561,0.560080496587381,1.26613830120564,0.65492273419456,0.667750514700806,0.735094177722801,0.381076616818947,0.59795714636465,0.930920830409787,2.46537994402659,0.164149359075216,5.83288649372959,0.289706887941242,3.58419716113936,1.13531197303392
"cobB",1.21159119602255,0.710232232082311,1.28111678860041,0.96098257386374,0.809400698980519,0.674843221222365,1.17768729913923,0.633662260706868,1.004737137959,1.08891700574309,0.672323805859173,1.24747681276886,0.726461872097556,0.9044000644422,0.597709728583829,0.574100015630194,0.999420004072573
"ldtB",0.81135320373058,1.44746267034992,0.978643353432804,0.992165582380948,0.85797766685662,2.08402692222345,0.893801851268028,0.682716724926103,1.00776088494946,1.1105312573584,0.87162660488889,0.676806345575567,2.4527039448408,0.389730838970401,1.57926993679621,0.73293745664017,0.368872805779548
"ycaQ",1.16961441733885,0.912703699357652,0.750500011986296,1.29982664766532,0.64128341433192,0.799890774053218,0.994042645225216,1.1698657659723,0.78437212930173,1.15159465666104,0.966645925382791,0.968320874035244,0.741828822237733,8.80589718560484,0.585894257945341,0.665492817185525,1.2359049663966
"putP",1.12771460059259,0.641337695876001,1.18043287055625,0.875712640227765,1.46930611697367,0.814969202855647,0.67480568360313,0.493841505596076,0.615450923983326,1.10337331917937,1.23561456313983,2.42660619868409,0.507786034993549,1.33964152387613,0.663602665358872,1.6360093573851,0.739129998694115
"lolC",0.645744788412587,1.33466923715999,0.613890393912257,1.98561092302715,0.921826406114475,0.725141332604438,1.03845249915239,0.830855791091064,1.09486087586603,0.864576183535731,1.34189687551887,0.536203670420248,1.68947705006718,0.530441295316561,1.6304896588204,0.973856764177185,0.913167288281423
"opgE",1.49994125617696,0.952308298733034,1.25823377995754,1.20884247385658,0.985068871614768,1.96480524082533,1.22108769140531,0.85545982021887,1.23662608004098,1.21712892976547,1.0255747102886,1.11402607428177,0.873659675311513,0.845873013243165,0.645173353655639,1.04452375271393,0.499169570517926
"ihfB",1.16452047037259,0.863154669758539,1.06494321132068,0.769764778206724,0.972261433143749,0.673162017295441,0.660443208684565,1.21962700500857,0.647875040541114,1.03859105126091,0.647772089361525,0.981468179856626,0.604643306817755,1.1946624130978,0.404357059165303,1.14008469200373,0.496063413085644
"rutB",0.991545650228758,0.633401874490929,1.06050145482612,1.09525497814286,1.51866851269061,0.435634600950946,0.895777691629158,0.491052778744328,0.71045021408444,0.993451429504599,1.44264559479143,0.98357883775811,0.7505309295636,0.950821874992349,2.99509560433449,0.664043657647664,0.921186622158718
"bhsA",1.40999104505211,0.961554041058226,0.173565245709211,19.2483183286636,0.108571699372036,1.21095056444622,10.0788288659329,0.534378178046494,2.22181156823982,0.832465852735614,0.820666333836129,0.173297169985974,7.00253709110102,0.0979439370897704,6.49581189173531,0.31993040223429,1.49341869055501
"glnH",1.39366324440333,0.926139188476205,0.98920847148966,1.49457726728516,2.19059077628688,0.60480560465451,0.410353235605326,1.73063681757082,0.688083983646968,0.856740978304727,0.925074260506387,1.96567525935197,0.512276793044551,1.29986788577019,0.390063090032604,1.34645032030004,0.347005294432393
"rutF",1.353241194022,0.567365712399754,0.15504834159439,12.5018380341513,0.146865760705537,2.63595831176328,22.1198292211613,0.291868414821001,3.96061388865184,0.477621604054065,0.703046912048363,0.159793430293456,5.1351294553895,0.149012989358142,5.22231431995523,0.143771537666303,12.8210788694387
"ycfP",1.52473550405712,0.816791456464889,0.815999401977454,1.37682733835245,1.77177327351848,0.631764142315043,0.610823995104897,1.13981920010053,0.56162982219486,1.01475109723447,0.681660591138143,1.85204223629341,0.429841034078724,1.37894794840258,0.244879723991053,0.826404491288182,0.419217190317297
"rlmF",0.687567853575805,1.42393754601293,0.916408026578796,1.01974017987091,1.14838070833074,0.961121734054234,0.743809761699249,0.871126416033759,1.02400611242712,0.779355249719464,0.993760898906225,0.685729740879669,1.19822136005316,0.523907129528924,0.772381638910314,0.921854520843673,0.305079742861834
"ycaP",0.683487093338599,0.696361793236739,0.814423445944541,0.91590774246576,1.11824553664948,0.518194597960236,0.684657436755057,0.624221952654447,0.693750094989916,0.955374119019402,0.651674012805174,1.2358134669274,0.675478846735759,1.12463121838944,0.617266985906252,1.16029125942967,1.1754273682095
