"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"pcm",10.67590758,10.63146244,10.80643012,10.48549815,10.79930333,10.77193587,10.8069517,10.96903853,10.86102615,10.71626573,10.80555171,10.51593041,10.64207472,10.67411393,10.68447994,10.65349052,10.63302379,10.91926915
"hemW",9.220957824,8.812106648,9.219986008,8.996326641,8.160030853,9.103677657,9.524380641,9.191934818,9.316247127,9.408060279,9.214728944,8.987071432,9.322531582,9.35072628,8.777982683,9.161645408,9.428276079,9.182617795
"etp",8.122677272,7.568643717,8.086661041,8.064503158,7.789111021,8.076415535,8.286698091,7.057952073,7.861628961,8.161768955,8.180085809,7.612484902,7.956982541,8.389088675,7.852610207,8.281880957,7.784149961,7.670049461
"kgtP",11.25065438,12.03717615,11.9197677,11.08315844,11.55476158,11.33399296,11.01068801,11.24324672,11.25543686,11.26407809,11.24822323,12.02472454,11.85609008,11.17106037,11.22521547,10.67514095,10.744394,10.77311913
"ybiO",4.839397482,4.492896422,4.701461386,4.909425359,4.143655718,4.902316671,4.846151438,4.351690792,4.740782473,4.629918084,4.704530656,4.055459201,4.498666033,4.869617515,5.010479844,5.116859084,4.895770951,5.101058578
"ygeP",6.291194059,5.152028136,5.608108763,6.149152961,4.373331137,5.300297471,5.803645621,5.475427569,6.122537603,6.229179269,6.625478683,5.557064634,6.384188876,6.635762471,4.290562822,4.993936142,5.118864391,5.196081372
"thiC",8.310925797,7.358427334,7.786488789,8.221300103,6.565197101,6.308947951,7.161639131,6.427347336,8.341004166,8.484838857,8.490616076,7.255054119,7.797715061,8.433299049,6.895022121,7.054825603,6.939229074,5.994652648
"mlaE",10.66039131,10.35936461,10.5368005,10.43711897,10.1251569,10.17196408,10.29132092,10.08994448,10.63656998,10.71660442,10.6678521,10.0335105,10.25365399,10.64863802,10.0168324,10.1735377,9.940480963,9.925795305
"yceD",13.75460563,13.6483606,13.7051647,13.70919305,13.57404215,13.60456931,13.59368441,13.37096036,13.64334768,13.72143281,13.69388363,13.63643256,13.72178697,13.70751064,13.55867349,13.56042892,13.60964357,13.39165393
"pdxY",9.118331192,9.111506608,8.94326566,8.638130712,9.242315729,9.528940539,9.552840276,9.746583351,9.414663357,9.171521923,9.180437623,8.971977801,9.171778599,8.903504593,9.39166449,9.327728638,9.650631403,8.852473649
"fliA",7.385002893,7.810004864,8.080733961,7.423009014,8.128419264,8.5236574,8.693549949,8.855780448,8.074844473,7.655759257,7.37460405,7.784649478,8.306760544,7.452064169,5.580057763,5.96524386,5.930196357,6.315149122
"narH",6.39361166,6.684552103,6.629130609,6.304699791,7.309020444,7.287361497,6.802570059,6.744880776,6.673735579,6.66652322,6.577486928,6.471412962,6.44811802,6.540910331,7.779151305,8.207511485,6.946720653,6.706306977
"malI",7.761360157,7.972336363,8.069204375,8.105277732,7.660074307,7.739215478,7.893524632,8.135419353,7.655225679,8.122331494,7.680293368,7.786196502,8.027150718,7.984084312,7.733414668,7.784800765,7.984899672,7.938196217
