"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"yahB",1.7,0.51,0.87,0.41,0.12,-0.66,-1.01,0.19,-0.55,-0.69,-0.82,-0.45,0.15,0.12,0.56,0.22
"yahC",-0.06,0.27,-0.21,0.07,0.09,-0.05,0.02,0.6,0.02,-0.04,0.11,-0.21,0,-0.07,0.08,-0.09
"yahD",0.04,-0.05,0.14,0.04,0.2,0.15,-0.08,0.36,-0.16,-0.18,-0.19,-0.05,0.13,0.12,0.18,0.07
"yahE",-0.08,-0.21,-0.14,0.21,-0.45,-0.15,-0.11,0.21,0.12,-0.02,0.11,0.01,0.14,-0.06,0.48,-0.04
"yahF",0,0.2,0.25,0.39,-0.02,0.11,0.13,0.39,0.08,0.2,0.13,-0.06,0.12,0.1,0.4,0.15
"yahG",0.05,-0.1,0.04,0.14,0.18,0.23,0.55,0.13,0.16,0.11,-0.18,-0.25,0.36,-0.12,-0.35,-0.13
"yahI",0.1,-0.09,0.15,0.17,-0.21,0,-0.06,0.03,0.02,-0.08,0.18,0.01,0.1,0.16,0.05,-0.04
"yahL",-0.16,0.07,-0.21,-0.1,0.04,-0.06,-0.06,0.43,-0.17,-0.04,0.08,0.13,-0.19,-0.48,-0.09,-0.32
"yahM",-0.04,0.28,-0.29,0.07,0.12,-0.16,-0.12,0.47,-0.13,-0.71,-0.14,-0.03,0.01,-0.36,-0.11,-0.36
"yahN",-0.09,-0.09,-0.06,-0.03,-0.16,-0.2,-0.33,0.08,0.18,0.21,0.09,0.31,-0.02,0.46,0.02,-0.11
"yahO",-0.41,-0.92,-1.26,-0.03,0.36,0.17,-0.21,-0.2,-0.27,-0.42,-0.2,-0.61,0.27,0.09,-0.71,-0.84
"prpR",0.05,-0.03,0.1,0.43,0.21,-0.02,0.13,0.7,-0.09,-0.28,-0.48,-0.3,-0.02,-0.05,0.36,0.02
"prpB",0.05,0.16,0.04,0.2,0.1,0.13,0.16,0.18,0.03,0.01,0.11,0.06,-0.04,0.18,-0.18,-0.14
"prpC",-0.33,0.27,-0.12,0.13,0.24,0.04,0.22,0.41,-0.26,0.13,-0.29,-0.15,-0.17,-0.14,-0.03,0.45
"prpD",-0.17,0.33,0.13,0.11,0.15,0.31,0.25,0.13,0.03,-0.03,0.02,0.17,-0.07,0.97,0.06,-0.03
"prpE",0.08,0.54,-0.07,0.22,0.14,0.02,0.08,0.35,-0.1,-0.34,-0.04,-0.07,0.04,0.46,-0.13,-0.16
"codB",0.3,1.11,0.78,-0.22,0.82,-0.51,-0.09,-0.27,-0.42,-0.38,-0.08,0.42,0.22,0.24,-0.03,0.12
"codA",-0.29,0.59,0.65,0.18,0.24,-0.2,-0.02,-0.28,0.04,-0.17,-0.07,0.28,0.34,0.07,-0.19,-0.19
"cynT",-0.04,-0.03,-0.06,-0.1,-0.15,-0.05,-0.04,-0.32,0.12,0.06,-0.05,-0.07,0.07,0.08,0.05,-0.09
"cynS",0.67,0.11,0.51,0.3,0.07,-0.18,-0.38,0.4,-0.12,-0.27,-0.13,0.26,0.35,-0.07,0.12,0.06
"cynX",-0.27,0.37,0.34,0.03,0.24,-0.1,-0.05,0.04,-0.1,0.06,-0.04,0.06,0.11,0.11,-0.03,-0.03
"lacA",0.03,-0.15,0.04,0.13,-0.07,-0.12,-0.25,-0.29,-0.15,-0.07,-0.01,0.41,0.55,0.04,0.55,0.28
"lacY",0.08,0.38,0.16,-0.01,0.09,-0.08,-0.02,-0.14,-0.24,-0.14,-0.14,-0.09,0.1,0.27,0.25,-0.23
"lacZ",-0.14,0.19,-0.04,0.1,-0.03,-0.1,-0.3,-0.12,-0.24,-0.13,-0.1,-0.12,-0.18,-0.04,-0.34,-0.02
"lacI",-0.09,-0.31,0.15,-0.07,-0.32,-0.09,-0.15,-0.23,0.02,-0.01,0.02,0.27,-0.32,-0.14,0.01,0
"mhpR",-0.13,-0.19,0.02,-0.1,0.34,0.12,0.58,-0.33,0.1,-0.06,-0.3,-0.1,0.16,0.03,-0.09,-0.05
"mhpA",-0.22,0.27,0.3,-0.08,0.18,-0.02,0.07,0.22,-0.21,-0.42,-0.32,-0.03,0.37,-0.11,-0.33,-0.3
"mhpB",0.05,0.25,0.17,0.2,-0.25,-0.05,0.19,0.16,-0.32,-0.12,0.07,-0.05,-0.1,-0.05,0.01,0.23
"mhpC",0.17,-0.1,0.19,0.14,-0.08,-0.02,-0.15,0.21,-0.04,0.01,-0.02,-0.01,0.09,0.01,0.31,-0.21
"mhpD",0.02,0.47,-0.22,-0.1,-0.09,-0.09,0.01,0.27,-0.24,-0.25,-0.15,-0.1,-0.07,0.21,-0.11,-0.06
"mhpE",0.15,0.28,0.14,0.39,-0.04,-0.02,0.1,0.74,-0.4,-0.21,-0.23,-0.32,0.14,-0.31,-0.29,-0.05
"mhpT",-0.03,0.69,0.28,0.58,0.09,-0.06,-0.15,0.15,-0.36,-0.49,-0.36,-0.22,0.22,0.12,0.05,0.09
"yaiL",-0.42,-0.31,-0.42,0.32,-0.22,-0.81,-0.37,-0.66,0.15,0.16,0.34,-0.03,-0.23,0.37,0.12,-0.09
"frmB",0.85,0.89,0.49,0.34,0.41,1.19,1.18,0.53,0.28,0.83,0.64,0.61,0.21,0.15,0.13,0.18
"frmA",1.55,1.07,0.57,-0.07,0.42,1.23,1.91,0.16,0.43,0.7,0.64,0.68,-0.21,0.08,0.2,-0.06
"frmR",1.33,0.52,1.09,0.07,0.74,1.43,1.87,0.66,0.08,0.19,0.17,-0.02,-0.19,0.08,0,-0.05
"yaiO",0.01,-0.12,0.04,0.01,-0.13,0.21,-0.28,0.07,-0.31,-0.11,-0.3,-0.04,-0.02,-0.08,0.1,0.58
"insC1",-0.22,-0.28,-0.5,-0.27,0.1,-0.13,0.03,-0.07,-0.15,-0.32,-0.55,-0.14,-0.24,-0.24,-0.09,0.02
"insD1",-0.55,-0.18,-0.31,-0.26,0.28,-0.08,-0.37,-0.29,-0.1,-0.09,-0.29,-0.03,-0.38,-0.34,-0.08,-0.09
"yaiP",-0.13,0.05,-0.44,0.18,0.13,-0.11,-0.22,0.11,-0.24,-0.23,-0.14,-0.09,0,-0.06,-0.14,-0.05
"yaiS",0.25,0.54,0.18,0.04,-0.02,-0.22,0.03,0.62,0.05,0.3,0.13,0.08,0.21,-0.06,0.08,0.04
"tauA",0.08,0.06,0.3,0.28,0.24,-0.32,-0.56,0.68,-0.32,-0.34,-0.14,-0.08,-0.12,-0.09,0.3,-0.09
"tauB",0.19,0.2,0.34,0.25,0.17,-0.11,-0.08,0.38,0.01,-0.16,-0.28,-0.41,0.18,0.01,0.22,0.09
"tauC",0.18,0.13,0.25,0.21,-0.07,-0.36,-0.3,0.29,0.17,-0.2,-0.49,0.36,0.44,0.25,-0.06,0.06
"tauD",0.04,-0.15,0.11,0.17,-0.08,0.72,0.2,-0.06,-0.12,-0.41,-0.24,-0.08,-0.09,0.31,0,0
"hemB",1.6,1.48,1.58,1.22,1.25,0.9,1.94,0.84,0.71,0.99,1,0.69,-0.1,0.3,0.2,0.27
"insF2",-0.27,-0.23,-0.22,0.05,-0.45,-0.34,-0.83,-1.11,-0.27,0.04,0.1,-0.15,-0.22,0.51,-0.03,-0.07
"insE2",-0.07,0.51,-0.12,-0.06,0.19,-0.05,-0.01,0.36,-0.25,-0.29,-0.02,-0.09,0.01,-0.05,0.01,-0.32
"iprA",0.19,0.33,0.21,-0.05,0.21,-0.03,-0.2,0.58,0.23,0.03,0.06,-0.04,-0.02,-0.45,-0.38,0.16
"ampH",-0.63,-0.31,-0.62,-0.21,-0.03,-0.34,-0.43,0.26,-0.83,-1.05,-1.12,-1.02,-0.22,-0.47,-0.15,-0.42
"sbmA",-0.1,-0.01,0.23,-0.08,-0.1,0.43,-0.14,-0.54,-0.2,-0.32,0.13,-0.11,-0.1,-0.15,0.03,-0.14
"yaiW",-0.13,0.15,0.3,-0.31,0.07,0.05,-0.2,0.12,-0.27,-0.2,-0.06,-0.09,0.05,0.1,-0.14,0.04
"yaiY",-0.05,-0.1,-0.04,0.09,0.27,0.3,-0.33,0.43,0.03,0.17,-0.03,-0.17,-0.27,0.01,-0.14,-0.07
"yaiZ",0.06,0.19,0.09,0.17,-0.12,0.26,-0.28,0.27,-0.18,-0.11,-0.06,0.05,0.23,0.16,-0.01,-0.14
"ddlA",0.24,0.7,0.75,-0.05,0.12,0.12,0.49,-0.37,0,-0.04,0.22,0.31,-0.44,-0.43,-0.51,-0.5
"iraP",-0.35,-0.11,-0.79,-0.18,0.13,-0.27,-0.73,0.36,-1.23,-1.34,-0.93,-0.72,-0.19,-0.13,-0.2,-0.24
"phoA",-0.22,-0.37,-0.11,0.03,-0.33,-0.13,-0.19,0.06,-0.28,-0.53,-0.83,-0.35,0.07,-0.06,0.19,-0.06
"psiF",0.54,-0.39,-0.41,0.38,0.15,0.12,0.37,0.91,0.17,0.2,-0.44,-0.32,-0.03,-0.23,0.05,-0.1
"dgcC",0.29,-0.43,-0.05,0.18,-0.06,0.25,-0.03,0.07,-0.14,0.16,0.05,0.04,0.17,0.07,-0.08,-0.07
"proC",-0.18,-0.4,0.18,-0.01,-0.22,0.14,-0.1,-0.27,0.3,0.25,0.04,0.08,-0.43,-0.29,-0.47,-0.15
"yaiI",0.28,0.29,0.31,0.17,-0.15,0.26,0.17,-0.16,-0.02,0.04,-0.05,0.01,0.28,0.08,0.62,0.11
"aroL",0.34,0.78,0.76,0.1,-0.39,-0.42,-0.12,-0.12,0.3,0.44,0.73,0.64,0.14,0.25,0.16,0.17
"yaiA",1.1,0.21,0.5,0.06,0.33,1.35,0.96,-0.02,0.46,0.61,0.43,0.16,0.45,0.29,0.21,0.5
"aroM",0.51,0.28,0.13,1,0.22,0.71,1.04,1,0.18,0.28,0.09,-0.19,0.05,0.29,0.24,-0.02
"ppnP",0.2,0.1,-0.35,-0.2,0.05,-0.09,-0.01,-0.47,-0.2,-0.39,-0.32,0.1,0,-0.1,0.27,0.22
"ykiA",-0.08,-0.11,0.07,0.1,-0.38,0.58,-0.01,-0.4,-0.13,0.15,0.02,0.12,0.35,0.19,0.03,0.14
"rdgC",0.37,0.43,0.26,0.14,0.07,-0.34,0.64,-0.38,0.1,0.31,0.34,0.75,-0.26,-0.38,-0.28,-0.32
"mak",-0.28,-0.9,-0.84,-0.3,-0.46,-0.04,0.3,-0.55,-0.03,-0.07,-0.3,-0.18,-0.71,-0.55,-0.5,-0.37
"araJ",-0.15,0.44,-0.11,0.24,0.01,-0.05,-0.08,0.32,-0.17,-0.16,0,-0.2,0.06,0.13,-0.19,-0.03
"sbcC",0.41,0.85,0.83,0.2,-0.08,0.25,0.26,0.31,-0.01,0.09,0.36,0.38,0.31,0.43,0.12,0.66
"sbcD",0.74,0.88,0.87,0.1,-0.09,0.18,0.66,0.02,0.17,0.4,0.55,0.57,-0.23,-0.01,0.08,-0.07
"phoB",0.79,0.93,0.89,0.14,0.12,1.05,1.77,0.61,0.27,0.52,0.32,0.21,-0.63,-0.18,-0.16,-0.14
"phoR",0.43,0.37,0.6,0.08,0.18,0.52,1.19,-0.09,0.23,0.4,0.39,0.22,-0.22,0.39,0.08,-0.14
"brnQ",0.39,1.14,0.97,0.47,-0.28,0.43,0.38,0.4,0.67,0.66,0.78,0.44,0.03,0.18,0.38,0.39
"proY",0.29,0.15,0.4,0.35,-0.13,0.6,0.6,-0.29,0.38,0.57,0.54,0.61,0.05,-0.07,-0.02,0.26
"acpH",0.17,0.26,-0.05,-0.19,0.05,0.11,0.15,0.77,-0.21,-0.08,-0.16,-0.15,-0.19,-0.33,-0.44,-0.12
"queA",0.33,0.28,0,0.17,0,-0.19,0.41,0.34,0.28,0.54,0.49,0.72,-0.1,-0.25,-0.14,-0.04
"tgt",0.4,0.01,0.22,-0.24,-0.36,0.02,0.17,-1.16,0.01,0.16,0.47,0.48,-0.25,0.07,-0.05,-0.34
"yajC",0.15,0.22,0.14,0.24,0.28,0.35,0.5,0.3,-0.11,-0.07,-0.16,-0.37,-0.32,-0.13,0.24,-0.18
"secD",-0.47,-0.26,0.2,-0.4,-0.84,-0.12,-0.42,-0.64,-0.14,-0.14,-0.03,0.1,0.02,-0.04,0.22,-0.06
"secF",-0.19,-0.29,0.12,-0.49,-0.6,0.08,-0.38,0.02,0.03,-0.1,0.25,0.02,-0.05,-0.06,-0.04,0.12
"yajD",-0.66,-0.76,-0.64,-0.06,-0.33,-0.3,-0.33,-0.83,-0.71,-0.67,-0.29,-0.68,-0.08,-0.27,-0.49,-0.29
"tsx",-0.29,-0.09,-0.52,-0.61,-0.74,-0.75,-0.3,-0.77,-0.64,-0.16,0.11,-0.02,0,-0.07,-0.17,0
"yajI",-0.23,-0.11,-0.11,0.08,0.07,-0.07,-0.23,0.08,-0.03,0.12,-0.13,0,-0.11,-0.22,0.05,0.05
"nrdR",0.82,0.5,0.63,0.08,0.63,0.81,1.07,-0.46,0.22,0.49,0.43,0.45,0.5,0.31,0.52,0.35
"ribD",1.03,1.04,0.82,0.04,0.71,0.33,0.63,0.14,0.3,0.62,0.67,0.73,0.43,0.49,0.69,0.64
"ribE",0.53,0.37,0.45,0.08,0.29,0.34,0.61,0.04,0.34,0.55,0.66,0.64,0.15,0.26,0.41,0.19
"nusB",0.44,0.41,0.58,-0.38,0.28,0.71,0.48,0.17,0.12,0.46,0.59,0.38,0.21,0.21,0.22,-0.04
"thiL",0.47,0.14,0.02,0.04,0.78,0.07,0.64,0.53,0.23,0.64,0.38,-0.27,0.04,0.29,0.58,0.63
"pgpA",-0.22,-0.25,-0.73,-0.1,0.03,-0.32,-0.36,0.02,-0.2,-0.01,-0.22,-0.42,-0.1,-0.11,0.02,0.09
"yajO",-0.35,-1.13,-1.38,-0.76,-0.42,-0.78,-0.67,-0.67,-0.04,0.15,-0.33,-0.34,0.02,-0.27,-0.11,-0.06
"dxs",-1.67,-1.47,-1.85,-1.56,-0.49,-0.95,-1.86,-0.35,-0.6,-0.8,-0.78,-0.86,-0.45,-0.36,-0.27,-0.18
"ispA",-0.8,-1.04,-0.94,-0.54,-1,-1.09,-1.39,-1.1,-0.91,-0.57,-0.57,-0.35,-0.2,0.1,-0.04,-0.42
"xseB",-0.84,-0.41,-0.68,-0.34,-0.24,-0.33,-0.92,1.19,-0.49,-0.39,-0.39,-0.17,-0.36,0.18,-0.31,-0.37
"thiI",-0.77,-1.18,-0.7,-0.67,-1.07,-0.91,-1.34,-1.71,-0.42,-0.01,0.17,-0.13,-0.15,0.11,0,-0.13
"yajL",-0.82,-0.71,-0.84,-0.38,-0.02,-0.37,-1.09,-0.22,-0.29,-0.23,-0.33,-0.36,-0.38,-0.23,0.19,-0.34
"panE",-1.01,-1.24,-1,-0.42,-0.98,-0.93,-1.37,-1.65,-0.46,-0.53,-0.38,-0.28,-0.33,-0.01,-0.11,0.01
"yajQ",0.39,-1.32,-0.26,0.44,-0.17,-0.1,-0.17,0.91,-0.17,-0.15,-0.2,-0.18,0.14,0.25,0.89,-0.03
"yajR",-0.54,-0.19,-0.12,-0.09,-0.11,-0.26,-0.7,0.04,-0.21,-0.01,0.12,0.13,0.07,-0.01,-0.06,-0.11
"cyoE",-0.54,-0.47,0.03,-0.99,-0.06,-0.52,-0.66,-1.45,-0.06,-0.16,-0.21,-0.06,0.05,-0.08,-0.06,-0.13
"cyoD",-0.57,-0.31,0.13,-0.91,0.1,-1.05,-0.57,0.35,0.03,-0.26,-0.36,-0.35,0.21,-0.13,0.08,-0.13
"cyoC",-0.56,-0.44,-0.09,-0.95,-0.13,-0.65,-0.54,0.77,-0.18,-0.2,-0.35,-0.36,-0.07,-0.1,-0.05,-0.03
"cyoB",-0.79,-0.64,-0.44,-0.88,-0.37,-0.73,-0.66,0.13,0.35,0,0.06,0.07,-0.04,-0.04,0.24,-0.09
"cyoA",-0.54,-0.12,0,-0.41,-0.45,-0.73,-0.57,-0.58,0.25,0.23,0.17,0.22,0.36,0.1,-0.05,0.08
"ampG",0.55,0.64,0.63,0.03,-0.32,-0.08,0.18,-0.31,0.08,0.15,0.42,0.44,-0.02,0.24,-0.08,-0.36
"yajG",0.18,0.76,0.5,0.48,0.15,0.15,0.52,0.24,0.08,0.52,0.82,0.89,-0.23,-0.22,-0.09,0
"bolA",1.11,0.5,0.4,0.08,1.21,1.29,1.7,0.82,0.3,0.43,0.26,0.19,-0.06,0.02,0.1,-0.08
"tig",0.53,0.73,0.9,0.61,0.4,0.87,0.84,-0.13,0.25,0.36,0.47,0.01,-0.44,-0.25,-0.6,-0.26
"clpP",0.63,0.29,0,0.18,0.96,0.59,0.47,0.35,0.26,0.41,0.33,0.3,-0.32,-0.13,0.28,-0.18
"clpX",0.72,0.29,0.41,0.07,0.56,0.81,0.8,-0.94,0.29,0.18,0.26,0.12,0,0.35,0.36,0.08
"lon",0.94,-0.36,-0.34,-0.69,1.47,1.67,1.07,-0.22,0.69,0.68,0.34,-0.15,-0.35,-0.19,0.25,-0.21
"hupB",-1.15,-0.69,-1.31,-0.61,0.14,-0.39,-0.5,0.72,-0.07,-0.38,-0.81,-1.13,-0.09,-0.04,-0.15,-0.11
"ppiD",0.56,0.19,0.02,0.31,-0.08,0.2,0.1,0.18,0.11,0.22,0.24,0.25,-0.23,-0.04,0.14,0.05
"ybaV",0.15,0.25,0.31,0.63,0.33,0.45,0.31,0.1,0.04,0.07,0.13,0.1,-0.11,0.44,0.15,0.17
"fadM",0.12,-0.3,0.07,0.1,-0.04,0.06,0.03,0.29,-0.14,-0.11,0.18,-0.37,0.1,0.07,0.25,0.21
"queC",0.11,-0.35,-0.16,0.24,-0.12,-0.34,-0.41,-0.58,-0.16,-0.08,0.02,-0.17,0.13,0.09,-0.27,-0.16
"ybaE",0.08,-0.54,-0.6,0.23,0.04,-0.39,-0.68,0.09,-0.2,-0.02,-0.32,-0.44,0.41,-0.27,-0.15,0.09
"cof",-0.22,-0.4,-0.28,-0.34,-0.19,-0.54,-0.6,-0.04,-0.27,-0.02,-0.37,-0.18,0.14,-0.08,-0.04,-0.1
"decR",0.97,0.31,0.47,0.09,0.31,0.62,0.76,0.29,-0.16,-0.08,0.16,0.22,0.33,0.44,0.11,0.05
"mdlA",0.82,0.39,0.39,-0.05,0.78,0.42,0.74,0.58,0.24,0.12,0.33,0.08,0.05,-0.17,-0.12,-0.03
"mdlB",0.46,-0.08,-0.01,0.01,-0.11,0.55,-0.01,-0.23,-0.22,-0.38,-0.08,-0.1,0.81,-0.04,0.32,0.23
"glnK",-0.75,-0.9,-0.96,0.27,0.47,-0.91,-1.91,-0.38,0.05,0.06,-0.09,0.09,0.09,-0.07,0.59,0.06
"amtB",-0.34,-0.69,-0.2,0.15,0.22,-0.34,-1.33,-0.95,-0.01,0.16,0.11,0.17,0.2,0.29,0.05,-0.27
"tesB",0.66,0.39,0.46,0.13,0.08,0.28,0.03,-0.43,-0.2,-0.11,0.18,0.11,-0.08,-0.04,0.8,-0.05
"ybaY",0.12,-0.6,-1.21,-0.81,0.12,0.37,0.65,0.46,0.4,0.46,-0.13,-0.65,-0.45,-0.5,-0.53,-0.79
"ybaZ",-0.1,0.09,-0.25,0.38,-0.2,-0.27,-0.39,0.42,0.15,-0.24,-0.73,0.06,0,0.07,0.1,0.19
"ybaA",0.33,-0.02,-0.11,0.23,-0.01,0.43,-0.1,-0.09,0.14,0.14,-0.06,0.09,-0.08,-0.17,-0.38,-0.12
"pdeB",-0.08,-0.19,-0.03,-0.06,0.03,0.19,-0.14,0.06,-0.11,0.1,-0.2,-0.21,0.14,-0.11,0.17,0.02
"ylaC",-0.15,-0.49,-0.19,0.16,-0.36,0.02,-0.16,0.07,0.56,0.75,0.74,0.81,0.18,0.55,0.58,0.59
"maa",-0.43,-0.35,-0.36,-0.03,0.06,0.25,-0.19,-0.05,0.08,0.05,-0.16,-0.12,-0.1,0.12,0.12,-0.01
"hha",-0.25,-0.28,-0.38,0.01,-0.2,0.9,0.02,-1.01,0,0.17,0.29,0.34,0.07,0.23,0.34,0.58
"tomB",-0.22,-0.55,0.11,0.2,-0.18,0.7,-0.18,-0.61,0.1,0.26,0.08,0.3,0.1,0.14,0.21,0.38
"acrB",0.11,-0.22,0.2,0.11,-0.32,-0.35,-0.11,-0.32,-0.1,0.49,-0.59,-0.5,0.28,-0.03,0.17,-0.17
"acrA",-0.5,-0.27,-0.31,-0.26,-0.37,-0.34,-0.15,-1.14,-0.2,-0.42,-0.47,-0.43,-0.05,-0.16,-0.15,-0.23
"acrR",-0.1,-0.29,0.13,0.21,-0.69,-0.15,-0.49,-0.31,0.06,0.11,-0.05,0.04,-0.12,-0.15,-0.21,-0.09
"mscK",0.71,0.64,0.52,0.12,0.01,0,0.23,0.08,-0.03,-0.14,-0.09,-0.07,0.19,0.32,0.08,0.49
"ybaM",0.04,-0.01,-0.07,0.2,0.21,0.14,0.32,0.7,-0.09,-0.36,-0.17,-0.48,-0.28,-0.15,-0.02,-0.33
"priC",-0.21,-0.18,0.07,0,-0.09,-0.15,-0.08,-0.38,-0.28,-0.89,-0.22,-0.01,-0.13,0.27,-0.07,-0.17
"ybaN",0.06,-0.45,-0.18,0.04,-0.32,-0.32,-1.6,-0.83,-0.05,0.14,0.11,0.17,-0.25,0.01,-0.05,-0.09
"apt",-0.24,-0.23,-0.22,-0.42,-0.46,-0.92,-0.47,-0.29,-0.09,0.02,0,0.35,-0.1,0.2,-0.18,-0.4
"dnaX",0.01,0.01,0.03,-0.08,-0.62,-0.4,-0.2,-0.32,0.48,0.43,0.48,0.3,-0.36,-0.09,-0.3,-0.09
"ybaB",-0.14,-0.26,-0.5,0.04,0.16,-0.25,0,-1.29,-0.36,0.05,0.06,0.02,-0.27,0.12,0.16,0.24
"recR",0.32,-0.28,0.02,-0.63,0.1,-0.68,-0.1,-0.51,0.08,0.08,0.11,0.21,-0.03,-0.07,-0.06,-0.15
"htpG",1.33,-0.44,-0.7,-0.89,2.04,1.96,1.21,0.35,1.04,1.25,0.3,-0.44,0.03,-0.25,-0.12,-0.26
"adk",-1.15,-0.23,-0.71,-0.37,0.02,-0.86,-0.56,-0.43,-0.03,0.03,0.16,0.2,-0.6,-0.29,-0.15,-0.46
"hemH",0.55,0.46,0.27,-0.08,0.79,0.42,0.9,0.17,0.82,1,0.68,0.27,0.02,-0.01,0.07,0.46
"aes",0.05,0.06,0.18,0.12,0.02,0.35,0.09,0.3,0.06,-0.1,0.16,0.45,0.02,0.5,0.1,0.1
"gsk",-0.73,-0.61,-0.91,-0.37,-1.18,-1.04,-1.23,-0.51,-0.3,-0.53,0.17,0.31,-0.31,-0.16,-0.21,-0.22
"ybaL",1.19,0.79,0.45,0,0.88,1.14,1.06,-0.11,0.65,0.55,0.44,0.16,0.37,0.4,0.38,0.33
"fsr",0.08,-0.01,0.23,1.04,-0.03,0.16,-0.03,0.83,0.02,-0.08,0.14,0.12,0.2,0.14,0.21,0.08
"ushA",0.13,-0.15,-0.41,-0.34,0.73,0.91,0.87,-0.07,0,-0.39,-0.79,-0.76,-0.23,-0.33,-0.46,-0.16
"ybaK",-0.06,0.01,-0.12,0.05,0.28,0.34,0.39,0.09,-0.01,0.1,-0.25,-0.3,-0.14,-0.46,0.09,-0.08
"ybaP",-0.39,-0.19,-0.07,-0.02,-0.41,-0.29,-0.69,0.11,0.13,0.34,0.07,0.21,-0.14,-0.1,-0.03,-0.14
"ybaQ",-0.59,-0.37,-0.57,-0.33,-0.48,-0.23,-0.42,-1.2,-0.59,-0.75,-0.39,-0.35,-0.24,-0.13,-0.26,-0.25
"copA",-0.26,-0.37,-0.19,-0.05,-0.2,-0.17,0.1,-0.48,-0.15,-0.26,-0.09,0.68,-0.11,-0.39,-0.03,-0.29
"glsA",0.51,0.24,-0.29,0.35,0.67,0.99,1.56,0.33,0.27,0.6,0.46,-0.11,0.11,0.07,-0.04,-0.01
"ybaT",0.46,0.06,-0.11,0.42,0.18,0.65,0.95,0.4,0.05,0.09,0.2,-0.13,-0.05,0.11,0.07,0.17
"cueR",0.32,0.32,0.43,-0.14,-0.02,0.43,0.24,0.18,-0.48,-0.13,-0.1,0.16,0.05,0.01,-0.13,-0.01
"ybbJ",0.69,0.54,0.46,0.12,-0.01,0.78,0.63,0.45,-0.08,0.22,0,0.19,-0.11,-0.03,0.41,0.05
"qmcA",0.52,0.85,0.94,0.15,0.88,0.82,0.8,-0.08,0.19,0.23,-0.04,0,0.03,0.17,0.12,0.24
"fetA",-0.01,-0.35,-0.05,0.1,-0.03,-0.4,-0.58,-0.37,0.01,-0.21,-0.03,0.03,0.36,0.32,0.05,0.03
"fetB",0.18,0.22,0.28,0.11,-0.01,-0.2,-0.34,0.06,-0.18,-0.1,-0.41,-0.45,0.18,0.14,0.41,0.09
"cnoX",0.55,0.49,0.79,0.06,1.2,0.45,1.03,0.31,0.26,0.11,-0.4,-0.43,-0.04,0.2,0.65,0.03
"ybbO",0.21,0.53,0.66,0.06,0.26,0.56,0.49,0.07,0.11,-0.25,-0.2,0.49,0.06,0.33,0.06,-0.2
"tesA",0.31,0.31,0.38,0.18,0.3,0.12,0.43,0.03,-0.16,-0.36,-0.18,-0.17,0.41,0.11,0.6,0.18
"ybbA",0.21,0.22,0.6,0.15,0.59,0.35,0.61,-0.18,0.16,0.01,-0.08,-0.4,0.04,-0.03,-0.02,0.07
"ybbP",0.5,-0.09,0.1,0.46,-0.14,0.13,0.21,-0.41,0.05,-0.35,-0.16,0.15,-0.01,-0.27,0.26,0.09
"rhsD",0.12,0.36,0.5,0.27,-0.09,0.2,0.07,0.12,-0.12,-0.09,-0.07,0.02,-0.63,-0.8,-0.83,-0.23
"ybbC",0.18,0.65,0.53,0.43,0.13,0.14,-0.19,0.38,-0.26,-0.3,-0.11,0.28,0.08,0.17,0.31,0.33
"ylbH",0.08,0.01,0.05,0.29,-0.14,-0.53,0.08,0.31,-0.3,-0.12,-0.02,0.29,0.21,-0.09,-0.39,0.08
"ylbG",0.1,0.13,0.51,0.24,-0.1,-0.36,-0.51,0.49,-0.27,-0.48,-0.26,-0.07,0.12,0.02,0.62,0.17
"selU",0.26,0.12,0.33,0.15,0.12,-0.02,0.42,0.19,-0.21,0.01,0.09,0.27,0.04,0.31,-0.14,-0.32
"allS",0.12,0.35,0.21,0.33,0.2,-0.17,-0.03,0.52,-0.17,-0.35,-0.03,-0.2,0.09,-0.08,0.3,0.21
"allA",-0.02,-0.13,0.13,0.27,-0.01,0.01,-0.18,0.07,-0.03,0.1,0.03,-0.03,0.03,0.02,0.35,0.02
"allR",-0.3,-0.31,0.12,-0.01,-0.35,-0.4,-0.09,-0.62,-0.24,-0.49,-0.88,-0.64,-0.21,-0.33,-0.29,-0.35
"gcl",0.11,0.12,0.64,-0.11,0.24,0.12,0.06,-0.01,-0.11,-0.71,-0.56,0.17,-0.05,0.06,0.03,0.03
"hyi",-0.26,0.22,0.16,-0.03,0.28,-0.01,0.43,0.14,0.13,0.26,0.23,0.15,0.01,-0.28,-0.5,0.05
"glxR",0.16,-0.14,0.03,0.04,0.01,0.01,0.17,0.05,0.06,0.16,0.13,0.07,0.28,-0.17,-0.08,0.11
"ybbW",0.07,0.29,0.24,0.31,0.46,0.18,0.26,0.73,-0.28,-0.25,-0.17,-0.26,0.52,0.14,-0.01,-0.09
"allB",0.02,0.01,0.15,-0.01,0.07,-0.09,-0.16,0.53,-0.23,-0.33,-0.01,0.03,0.12,0.18,0.38,0
"ybbY",-0.16,0.12,-0.01,0.26,0.14,0.04,-0.04,0.24,-0.37,-0.38,-0.45,-0.5,0.49,-0.03,0.05,-0.07
