"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"yafZ",0.15,0.49,0.44,-0.13,0,0.02,0.54,-0.04,0,0.14,-0.03,0.2,0.11,0.24,-0.15,0.07
"ykfA",-0.07,0.33,-0.39,-0.2,0.06,0.01,-0.15,0.16,-0.3,-0.15,-0.06,0,-0.15,0.08,0.23,-0.04
"perR",0.1,0.09,0.34,-0.04,0.01,0.14,0.18,-0.01,0.1,0.36,0.46,0.19,0.03,0.33,0.17,0.07
"insI1",-0.3,-0.24,-0.19,0.02,-0.17,-0.14,-0.23,-0.06,-0.03,0,-0.1,-0.06,-0.19,-0.24,-0.4,0.13
"ykfC",0.42,0.74,0.58,0.18,0.33,0.47,0.67,0.62,0.31,0.45,0.27,0.67,0.18,-0.08,-0.06,0.24
"insH1",-0.04,0.01,0.03,0.72,0.23,0.21,0.35,0.13,0.43,0.48,0.64,0.72,0.05,0.35,0.35,0.49
"mmuP",-0.06,-0.43,-0.35,-0.04,-0.13,-0.22,0.08,-0.15,-0.11,-0.12,0.19,0.1,0.12,0.76,0.32,-0.04
"mmuM",-0.33,-0.38,-0.17,-0.18,-0.16,-0.34,-0.24,-0.2,-0.1,0.18,0.06,0.08,-0.22,0.01,-0.1,-0.16
"afuC",0,0.12,0.24,0.09,-0.01,-0.01,0.02,0.14,-0.05,-0.03,-0.26,-0.33,-0.02,0.21,0.35,-0.07
"afuB",0.26,-0.04,0.31,-0.2,-0.76,0.2,-0.05,-0.1,-0.06,0.09,-0.01,0,0.21,0.24,0.22,0.18
"insB2",0.28,0.24,0.27,-0.05,-0.38,0.05,-0.47,-0.01,0.24,0.61,0.35,0.45,-0.07,0.25,0.33,0.32
"insA2",0.35,0.14,0.34,0.11,-0.1,0.23,0.01,-0.11,0.42,0.52,0.42,0.21,0.2,0.06,0.01,0.21
"yagB",-0.46,-0.41,-0.02,-0.03,-0.08,-0.15,-0.41,0.07,-0.41,-0.29,-0.26,-0.05,-0.26,0.08,0.1,-0.41
"yagA",-0.03,0.63,-0.08,0.27,0.3,-0.11,0.32,0.33,0.06,0.11,0,-0.08,0.12,-0.04,-0.19,0.01
"yagE",-0.07,-0.22,0.28,-0.01,0,-0.09,-0.28,-0.33,-0.26,-0.05,-0.14,-0.35,0.09,0.39,0.17,0.01
"yagG",0.06,0.44,0.14,0.18,0.12,-0.02,0.21,0.37,0.22,0.15,0.08,0,-0.21,-0.04,-0.34,0.06
"argF",-1.01,-0.01,-0.44,-1.02,0.24,-2.17,-2.2,-1.28,-0.44,-1,0.63,1.61,0.48,0.4,0.05,-0.07
"insB3",0.22,0.04,0.34,0.05,-0.78,0.19,-0.25,-0.2,0.2,0.2,0.23,0.27,-0.15,0.34,0.15,0.25
