"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"hybF",1.999,2.1204,1.6453,1.8779,1.8673,2.0364,2.1082,1.9723,2.3152,2.2711
"ycgX",0.541,0.5302,0.8937,0.6041,0.764,0.5161,0.4985,0.5626,0.5259,0.497
"xseB",5.5447,5.7128,5.2888,5.3787,5.4025,5.5006,5.29,5.3878,5.2052,5.3216
"yohK",1.8046,1.6721,1.6444,1.8379,1.9193,1.6601,1.7789,1.8333,1.924,1.9332
"mreD",2.5478,2.657,2.7358,2.4859,2.5969,2.5574,2.6369,2.4592,2.6591,2.754
"arsB",0.7492,0.7888,0.9069,0.8794,0.7492,0.9711,0.5948,0.7604,0.678,0.8009
"ccmC",2.9793,3.2078,3.1399,3.6584,3.5261,3.8483,3.437,3.6445,3.6835,3.4766
"xynR",0.3729,0.4304,0.5346,0.3889,0.3855,0.4605,0.3709,0.4435,0.4309,0.3918
"nuoH",5.7075,5.3701,5.011,5.2658,5.5339,5.0887,5.8964,5.4613,5.8743,5.7734
"ydiR",0.8663,1.0244,0.9073,0.8866,0.9022,0.8302,0.8866,0.9431,0.8716,0.9711
"dgcI",1.2484,1.6306,1.5974,1.363,1.2923,1.6842,1.1244,1.6958,1.0214,1.277
"rdgC",4.5048,4.5668,5.1087,4.6656,4.6281,4.7581,4.0928,4.7225,4.0446,4.0915
"cheR",0.8087,0.9489,0.9142,0.8248,0.7587,1.3057,0.8696,1.0532,1.0004,0.9255
"dgcF",1.0309,1.0605,1.2795,1.1459,1.2694,1.2105,1.1662,1.38,0.9878,1.2147
"cusR",2.3922,2.6883,2.6036,2.4826,2.511,2.8702,2.4443,2.8791,2.594,2.4381
"cmoA",3.1742,3.3214,3.2118,2.8563,3.0876,3.1409,3.1399,3.3656,2.9159,3.2285
"hyfR",0.384,0.3945,0.3956,0.4292,0.3218,0.3997,0.3743,0.4483,0.3822,0.3909
"pheA",4.9417,5.3171,4.9315,4.5116,4.8734,5.2032,4.9905,5.0874,4.7775,5.0067
"rclA",1.1564,1.0113,1.161,1.0914,1.0196,0.9789,1.0356,1.1593,1.1052,1.2121
"ygjR",4.6656,4.8493,4.4767,4.982,4.6358,4.8918,4.6608,4.8236,4.6913,4.7525
"ybiT",4.0446,4.1162,3.9076,3.9005,3.9957,4.7418,4.2002,4.1341,4.1791,4.3983
"nimT",1.3423,1.5114,1.2638,1.3383,1.2189,1.4174,1.5114,1.5217,1.4406,1.3826
"yjfN",6.2212,6.417,5.0769,5.8683,5.9486,5.6847,5.6633,5.9154,5.3978,5.6048
"dgkA",3.4337,3.1592,3.6072,3.6703,3.5773,3.0464,3.6131,3.2346,3.575,3.4787
"wzxC",1.171,1.0496,1.1068,0.8807,0.8644,1.2474,0.8394,1.3619,0.9491,0.7923
"ffh",4.8526,4.8842,4.9107,4.6071,4.645,5.0245,4.5832,4.976,4.5212,4.6116
"ygjH",2.5171,3.0975,2.27,2.5317,2.3768,3.0756,2.3669,2.8897,2.2958,2.4223
"yfgH",1.3223,1.0425,1.1986,1.2549,1.3662,1.1161,1.1878,1.0797,0.8909,1.1765
"hflK",6.0819,6.4631,6.4587,6.1125,6.0933,6.5244,5.9646,6.3077,6.0255,6.0233
"ycjQ",0.6856,0.6991,0.7937,0.7427,0.7151,0.858,0.6604,0.8435,0.633,0.6751
"yfjY",0.7162,0.9591,0.6476,0.7524,0.656,0.834,0.6321,0.7527,0.6151,0.7005
"dpiA",2.2394,2.2834,2.3659,2.109,2.1267,2.6123,2.1314,2.624,2.112,2.1194
"yidA",5.4717,5.3822,4.7371,5.0339,5.2992,5.0666,5.5836,5.3591,5.3151,5.5551
"glrK",2.5191,2.7905,2.6523,2.7531,2.5327,2.8505,2.2442,2.5452,2.1951,2.3725
"yhaK",1.6393,1.3188,1.6721,1.5974,1.6784,1.6924,1.9126,1.8396,1.8859,1.8431
"rpoB",6.7286,6.8115,6.7132,6.4409,6.6999,6.8946,6.7672,6.8443,6.7957,6.6948
"ygdQ",2.2496,2.2587,2.1546,2.1464,2.191,1.8572,2.0694,2.1433,2.2246,2.1251
"yjfI",0.9679,0.9389,1.3151,1.0776,0.9766,1.0663,0.9038,1.0089,0.7141,0.8164
"yejE",1.5421,1.7195,1.7572,1.637,1.7135,1.3064,1.3769,1.8268,1.6342,1.4269
"araD",1.7246,1.753,1.5787,1.754,1.6129,1.8938,1.915,1.7641,1.7988,1.8268
"sanA",3.1151,3.1676,3.1342,3.2903,3.2405,3.2973,3.1788,3.3865,2.8721,3.1955
"rpsF",6.8946,6.4521,6.6019,6.5024,6.8835,6.0701,6.8998,6.5546,6.9043,6.8625
"argD",1.2064,0.9441,3.3568,1.3099,1.1993,1.1059,1.3451,1.2336,1.2647,1.3942
"yfdM",0.5449,0.5882,0.5901,0.555,0.4728,0.7203,0.4636,0.4583,0.4788,0.6006
"ydcK",1.6275,1.5233,1.4119,1.3842,1.6694,1.5642,1.538,1.5881,1.5899,1.4884
"fixB",1.2303,1.3884,1.0867,1.3408,1.1459,1.3507,1.1564,1.3696,1.4105,1.032
"igaA",3.6334,3.9444,3.6668,3.7337,3.5383,3.96,3.3167,3.7763,3.2849,3.428
