
tf,tg,kd
csgD,hha,2.1220081632382772
csgD,ybaM,2.240965546031255
csgD,ybaL,2.05052566031304
csgD,ybaP,3.2523331333881007
csgD,glsA,1.4751410518152186
csgD,ybbC,1.6589243471137936
csgD,gcl,1.2765130659754798
csgD,glxR,2.0417331007286914
csgD,tfaX,1.6109831545615605
csgD,entD,3.2120934260489475
csgD,fes,3.127689984756276
csgD,ybdL,1.4838455191717461
csgD,citG,3.1496554167276116
csgD,citC,3.065680233239697
csgD,ybeF,2.574370732790313
csgD,dacA,1.8962900564324747
csgD,ybeR,3.2213485209178265
csgD,ubiF,2.562427241367165
csgD,chiP,2.6214779779880404
csgD,potE,2.854412640867852
csgD,speF,1.8097042446415517
csgD,kdpC,2.3585834500191636
csgD,ybgS,1.9637849593542211
csgD,galE,3.2241671130235723
csgD,pgl,2.8055712782470827
csgD,ybhH,3.3231886476283568
csgD,ybhB,1.3192415908268178
csgD,moaB,2.001721200126854
csgD,ybhQ,3.1361186152870877
csgD,ybiA,2.2599283384833915
csgD,dinG,3.3108307205360896
csgD,ompX,1.954090635311252
csgD,dgcI,0.9654449636990183
csgD,ybjG,2.489835814819564
csgD,rimK,3.103731259661604
csgD,artI,2.426135111104018
csgD,cydD,1.3405328158705299
csgD,pflB,1.436115222513482
csgD,serC,1.795706893159204
csgD,elfC,2.26686646113043
csgD,hyaD,1.662426000096207
csgD,gfcD,1.6907631055898644
csgD,yccE,1.6900027925639673
csgD,yccJ,2.6499172044897747
csgD,pgaC,2.8299148779789616
csgD,pgaA,3.319368532390879
csgD,dgcT,1.8436168372725108
csgD,ycdY,2.8727714477103685
csgD,yceJ,2.4207472320589254
csgD,yceM,1.1824947453403754
csgD,fabG,1.3044612575006522
csgD,acpP,1.3213600494717201
csgD,mltG,3.329410179087211
csgD,ycfP,1.778672654969491
csgD,ymfI,1.5977469065917262
csgD,beeE,2.9453456514017207
csgD,tfaP,2.4485468641647135
csgD,iraM,2.3677105906579508
csgD,ymgL,1.9420439296763405
csgD,ymgF,2.851467665781521
csgD,ymgJ,2.220418228358648
csgD,minC,1.8353068667886818
csgD,ldcA,3.2135431562778174
csgD,lolB,1.553962923493828
csgD,chaB,2.4513049858274747
csgD,adhE,1.8982740789317258
csgD,oppB,2.6260042878890855
csgD,yciU,2.604198281757624
csgD,yciG,2.7233049792176303
csgD,puuD,2.343424180642895
csgD,pspE,1.7245877386016897
csgD,ogt,2.071738094361553
csgD,ynaN,2.4809880895300926
csgD,intR,3.2971960644667773
csgD,tfaR,3.1335654499610244
csgD,ynaE,1.8148948885033396
csgD,ynaM,3.25461504413258
csgD,ynbG,2.9798176947534354
csgD,pdxI,1.896843875427551
csgD,ynbC,1.3793563326034182
csgD,aldA,1.8420752172724764
csgD,tehA,2.2028954858265704
csgD,sutR,3.006503170945157
csgD,yncH,1.6426610654880802
csgD,yncO,1.9077257433368149
csgD,yddG,3.2504310929648033
csgD,pqqL,3.129390103147343
csgD,tam,1.034776008983059
csgD,uxaB,1.1415494921797311
csgD,yneJ,1.7632112034647283
csgD,ydeA,1.9532468230486115
csgD,rspR,3.2146667219294667
csgD,ynfT,1.857596330789301
csgD,ydfK,3.25461504413258
csgD,stfQ,3.133649051593215
csgD,cspF,2.832175974591185
csgD,ydfT,1.521533888898904
csgD,tus,1.6145588541465055
csgD,rsxA,1.5838272250450653
csgD,pdxH,3.0059163797389004
csgD,rnt,1.3460758307001983
csgD,pykF,2.502505853836359
csgD,ydiK,3.1038166707189765
csgD,ydiB,1.6947447209002648
csgD,aroD,2.669204547464757
csgD,ydiP,2.038145195986165
csgD,ydiE,2.061829363902137
csgD,rplT,3.039671704381619
csgD,pfkB,1.8694413845565863
csgD,ydiZ,2.8682532586710043
csgD,xthA,2.6822918090987287
csgD,yoaJ,3.048670764090433
csgD,dmlR,1.3505884878765335
csgD,yeaV,2.3940993678317186
csgD,yoaC,1.9187544585161227
csgD,edd,2.263128423533309
csgD,flhA,1.5766765616315803
csgD,cheW,2.7411240315899397
csgD,araH,2.379904037173486
csgD,ftnA,2.5294312467329494
csgD,pgsA,1.5570209867161493
csgD,mtfA,2.0087453361352927
csgD,amn,2.7827721038907325
csgD,yeeN,2.670612953264729
csgD,wbbL,1.7451186901937397
csgD,rfbX,1.8700503312620196
csgD,rfbD,1.2696699949434729
csgD,wcaF,1.8469375132909296
csgD,wcaD,3.120791548052977
csgD,wcaB,1.5597199603908738
csgD,yehA,2.5585819526586278
csgD,yehD,1.7466733413170823
csgD,yehE,3.1369160022924722
csgD,metG,1.2669718804615706
csgD,yehI,1.715787355966999
csgD,yehL,3.1834971944902097
csgD,yehS,2.0000546710614495
csgD,yehY,2.1664646509794236
csgD,dld,2.0563145220749908
csgD,yeiG,2.1004211377826874
csgD,yeiH,2.9139821606012126
csgD,yeiP,2.86478774787576
csgD,lpxT,1.504519875997158
csgD,mepS,2.95761305526252
csgD,yejL,2.8162500902573733
csgD,yojO,1.6247574435751277
csgD,alkB,1.716082332135684
