"","0","0 | 1","0 | 2","17700","17700 | 1","17700 | 2"
"puuA",0.873829602784481,0.774604214512017,1.10104338095146,2.01420314987019,0.910955598826088,1.42242806555646
"paaI",1.34914021392269,1.59416312865128,1.38729698784743,0.582662648089244,0.767999471890399,1.27169670044243
"yddB",1.14242527737828,1.39988590899224,1.36791667038623,1.51005722098623,0.89161901531429,1.6082236789967
"treA",0.661843723531495,0.939128994727277,0.819950405826759,1.1186264760031,1.13078700740547,1.31842016631188
"sapB",0.976197309747602,1.00499738394033,2.95686180351892,2.23655897385538,1.04411676320421,0.831407699127552
"paaE",0.655558987606575,0.313540246816723,0.424933286646399,1.20438912712292,0.602539645892487,0.598111103269336
"digH",1.38476787753141,1.86726035915377,1.53651517988783,1.33943628412132,0.887333745708576,0.88765310048741
"ydgA",0.801415235028736,0.807539702821257,0.695755824403366,0.516180347157276,0.824172759691849,0.882923360115483
"yoaB",0.952420438752049,1.57056859994838,1.19444599162368,1.29151919818483,0.700299399745736,0.901866254621376
"pgsA",0.741613729527562,0.916401015840966,0.847591649256116,0.949315127471152,0.838147328803951,0.933818395533061
"tus",1.41948690202383,1.67863580072226,2.40883468198774,0.796235125671115,0.903603320267663,0.904768654204383
"nlpC",1.04170453625731,0.772864218467609,1.39564017425755,0.885597631009131,0.79309148227052,0.976316288704794
"fadD",0.851963496667949,1.08507598174824,0.745780241314774,0.839343328204243,0.66242507095668,1.10974962180301
"ftnA",0.936037035421328,2.82908215025799,1.02353442783965,0.434579123353085,0.623836223333779,0.714284966266544
"folM",0.919727076704626,2.31243239274352,1.2938453374306,1.21240926997763,0.765217418518047,0.880137354588912
"aroH",1.47786325424783,2.48629116731761,2.28081653439354,1.54418439522483,1.01337806179543,1.08057357427202
"yeaV",1.37900146354864,0.534382692904411,1.46784420845406,0.602747064190342,0.688908961879991,1.3088590582054
"araF",0.738343678368473,0.330320728154475,0.354955532594155,0.863028975111507,0.624923722123738,0.573777098802377
