"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"yfdY",11.356751,11.322051,11.40481,10.938175,10.62084,10.758,11.13789,10.829235,10.857831,10.964129,11.281517,11.192145,11.244372,11.311589,11.346169,11.565393,11.590051,11.698294,11.245944,11.311809,11.453992,10.709322,10.751253,10.662004,10.84626,10.882183,11.099969,11.332145,11.05735,11.012931,10.664676,10.680722,10.759426,11.111863,11.042693,10.383177
"mprA",12.317092,12.424429,12.574504,12.256721,12.376535,12.490381,12.452453,12.318693,12.431037,12.550213,12.65829,12.788443,12.439581,12.416407,12.327336,12.743799,12.806051,12.85069,12.457934,12.484896,12.631973,12.512726,12.582468,12.562707,12.526627,12.518333,12.513499,12.366421,12.474547,12.522666,12.635929,12.683562,12.710456,12.707625,12.599474,12.499385
"ycjU",6.252888,6.298195,6.376501,6.08138,5.953943,6.444827,6.000228,6.061421,5.535386,5.624349,5.864155,5.855397,6.085841,6.42975,5.997611,5.779697,5.631494,6.70445,5.982523,6.206381,6.182963,5.778102,5.767962,5.17712,5.736736,5.241797,5.863797,6.119716,6.063855,5.895645,5.925143,5.488181,6.686257,5.616877,7.517361,8.025101
"pdxJ",11.95777,12.135758,12.220913,12.005504,12.151689,12.087845,11.922801,12.173509,12.359438,12.609916,12.440193,12.422335,12.261984,12.433721,12.468881,12.42693,12.42481,12.451228,12.152184,11.996512,12.125205,12.014457,11.990189,12.131834,11.897229,12.223201,12.240707,11.984074,12.002687,12.132917,12.123993,12.183367,12.366345,12.022757,12.210242,12.118854
"ybfA",8.949875,9.065316,10.120505,9.021898,9.855557,10.814769,8.597729,11.663433,11.588163,11.164504,11.521743,11.900732,11.382319,11.799534,12.266034,11.94691,12.542049,12.497489,8.756317,9.000194,9.408902,9.327766,10.698454,11.706157,10.431374,12.161534,12.575052,10.796688,11.672846,12.058433,10.900928,11.47683,12.328567,11.709072,12.410247,11.997481
"clpS",13.34746,13.291258,13.223677,13.134751,13.069346,12.892968,13.193711,13.084193,13.059907,13.005604,13.175154,13.231473,13.039098,13.001339,13.038767,13.33649,13.351547,13.306013,13.217552,13.224503,13.292274,13.17379,13.226178,13.066937,13.236314,13.164498,13.286279,13.299298,13.142404,13.138951,13.053713,12.978118,13.076256,13.220836,13.059934,13.161918
"ghrB",11.84575,11.920849,11.884964,11.601189,11.68037,11.607343,11.583897,11.794552,11.900955,12.001032,12.098584,12.143142,12.014312,12.196081,12.275163,12.171845,12.126658,12.05046,11.718936,11.644631,11.633232,11.630821,11.529667,11.561061,11.641968,11.739955,11.667251,11.429553,11.468485,11.544128,11.607863,11.666637,11.7842,11.422993,11.561974,11.754838
"artJ",12.043955,12.675496,12.830536,10.152895,10.352318,10.401936,10.594096,11.882486,11.871503,11.502238,12.584727,12.956741,12.164653,13.038832,12.892497,13.038738,13.252432,13.408073,12.999574,12.39427,12.621079,10.557484,10.691298,10.796799,11.54615,11.983618,11.901093,12.273258,12.235801,12.483323,12.522427,12.5649,12.899502,12.733038,12.847691,12.732059
"yfjH",9.734714,9.805553,9.783488,9.32208,9.763263,9.720424,9.542009,9.288298,9.228563,8.94832,8.748689,8.844551,9.190428,9.104937,8.987389,8.716669,8.504709,8.911794,9.750754,9.782,9.656414,9.266291,9.447004,9.161612,8.949355,8.822936,8.993864,8.844693,8.904255,9.037004,9.014401,9.138846,8.828616,8.722178,8.83305,9.060936
"pheS",13.12435,13.146209,13.363902,13.417096,13.561286,13.643378,13.448106,13.973758,13.859946,13.850326,13.660715,13.616565,13.725101,13.805992,13.889953,13.692746,13.708357,13.524971,13.332707,13.343133,13.418946,13.328043,13.469608,13.635182,13.415765,13.668491,13.716311,13.605836,13.675926,13.727677,13.764841,13.768096,13.724628,13.649642,13.641074,13.682291
"fadM",10.507977,10.345317,10.209401,10.661976,10.394053,10.103877,10.531003,10.453731,10.489818,10.595113,10.805422,10.764633,10.815692,10.65837,10.481111,11.011058,10.837514,10.64555,9.67279,9.603182,9.585885,9.584471,10.017565,9.508547,9.98772,9.947691,9.836358,10.075229,10.013269,9.892211,9.809859,9.821592,9.687718,9.951016,9.397758,8.884481
"yagL",4.56606,4.869448,5.023684,4.360381,4.720699,4.436575,4.611782,4.608499,4.966355,4.665936,4.528722,4.710698,4.997369,4.202333,4.67751,4.498672,4.69332,4.398843,4.632618,4.346418,4.471237,4.504464,4.472248,4.696489,4.704292,4.787733,4.462834,4.589133,4.41213,4.741209,4.860457,4.496023,4.183824,4.642574,4.059798,4.043225
"cnoX",12.393326,12.393315,12.727474,12.141115,12.15518,12.129595,12.00828,12.323336,12.361681,12.410257,12.468768,12.406103,12.453814,12.583778,12.608762,12.55978,12.604586,12.556323,12.334228,12.16835,12.490312,13.082375,12.999508,13.197004,13.208201,13.408449,13.237161,13.195756,13.263878,13.32527,13.509155,13.423437,13.366858,13.367782,13.223944,13.150547
"pdhR",12.448002,12.419179,12.539602,11.740733,11.709131,11.809416,11.516878,12.26701,12.58796,12.286231,12.912458,12.899784,13.122945,13.014599,13.111943,13.32934,13.577464,13.462997,12.415263,12.409853,12.615117,12.199418,12.047874,12.385718,12.446495,12.759057,13.221055,12.474072,12.967716,13.011822,12.169006,12.502584,13.08053,12.608039,12.893538,12.752465
"sfmA",7.405729,7.603512,7.741941,7.583795,7.452452,7.607934,7.282219,7.167907,7.436828,7.763269,7.748893,7.735354,7.698786,8.114161,7.732959,7.703779,7.788385,8.329724,7.698317,7.957617,7.531727,7.172855,7.251872,6.869808,7.475461,7.492222,7.4026,7.638739,7.847432,7.631919,7.412479,7.678152,8.420595,7.551218,8.82478,9.718844
"azoR",9.638334,10.066448,10.180972,10.170082,10.193711,10.181685,9.690437,10.103497,10.319505,10.626505,10.325486,10.270104,10.197383,10.182422,10.441429,10.133295,10.365195,10.153542,9.781652,9.794976,9.829699,10.011816,9.788508,10.075736,9.656742,9.976398,10.117201,9.625993,9.778999,9.954133,10.108921,10.052099,10.355383,9.906523,9.728744,9.489135
"tusC",12.20837,12.188491,12.133925,12.237759,12.0891,12.102642,12.192682,11.853525,11.588959,11.254035,11.233244,11.422417,11.411554,11.23723,11.222346,11.383607,11.561809,11.350295,12.047137,12.137447,12.248843,12.154979,11.871914,11.856709,11.933843,11.517246,11.494209,11.568162,11.622603,11.602144,11.737049,11.740223,11.375852,11.591138,11.476562,10.812384
"yodC",11.786498,11.689261,11.624198,11.392577,11.233132,11.27325,11.398256,11.076779,10.98866,11.167329,11.021092,10.910883,11.095276,11.019588,11.171717,11.289676,11.0717,11.12409,11.850352,11.620984,11.637546,11.110745,10.938544,10.908861,11.022527,11.014295,11.215553,11.286932,10.998667,11.000272,10.82752,10.803434,10.865033,10.948102,10.916002,9.729688
