"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"yjbJ",531.6,1204.4,599.6,13583,571.5,1705.7,8129.1,12698.8,187.7,75.4,5859.1,5823.3,852.6,803.8,895.5,27264.6,372.1,1187.6,10872.7,14793.1,289.2,1070.7,5998.2,6473.7
"zur",1216.8,1109.1,81.6,881.5,1427.1,1815.9,843,780.3,423,353.3,389,334.6,984.2,1604.6,878.7,741.3,1296.6,1457.5,782.3,503.7,705.4,576.6,302.7,325.8
"yjbL",16.2,18.2,8.2,9.5,27.6,13.8,7,8.4,1.6,0.7,1,1,17.8,18.9,5.9,2.5,7.2,70.9,18.3,6.6,0.5,1.4,1.6,1.3
"yjbM",89.9,104.4,30.8,126.4,46.1,133.4,65,56.8,23.9,17.9,36.2,17.2,56.3,53.2,64.9,64.8,76.2,75.7,133.1,44.1,47.4,32,34.4,32.4
"dusA",2014.3,618,78.2,315.4,2343.4,1292.7,434.2,421.2,548.9,225.9,177.4,73.3,1503.3,1077.6,371.4,139.8,1452.9,629.9,243.7,295.2,695.3,481.9,115.8,88.3
"pspG",511.2,277.2,8.7,139.7,220.7,170,106.7,289.1,112.6,54.6,87.4,260.5,394.5,328.7,217.6,490.6,187,90.3,79.9,223.9,195.7,134.9,88,493.4
"qorA",398.9,392.2,171,1474.7,132.5,666.6,1426,1387.3,109.8,94.5,1598,584.1,250.2,407.3,373.3,5347.2,161.8,373.5,1119.3,1708.8,275.2,473,973.1,998.3
"dnaB",1499.6,1497.5,192.2,628.6,1458.5,1539.9,749.7,719,597.1,407.6,452.5,208.9,1190.7,1230.7,864.1,314.3,1223.9,883.4,519,555.9,871.7,893.2,318,339.8
"alr",273.4,271.4,97.5,55.3,461.6,517.1,249.1,319.8,144.6,23.4,31.7,20.5,218.3,278.9,118.3,121.8,429.1,388.8,322.8,308.5,167.5,153.4,77.7,69.1
"tyrB",319.7,554.5,648.7,578,329,739.4,417.8,453.2,147.5,121.6,349,115.9,253,479.1,556.7,355.6,432.5,523.5,417.1,233.4,256.5,254.7,201.2,140.6
"aphA",258.9,1409,2151,1736.8,222.8,1601,1131.6,911.1,202.7,417.1,823.1,277.6,221.2,607.2,1158,539,738,941.7,1251.1,824.8,1407.5,690.3,526.8,420.1
"yjbQ",702.3,1295.8,3902.5,2651.4,497,1110.2,2200,2436.7,339.7,202.5,1912.6,831.4,367.1,426,682.3,3057.2,519.7,689.6,1502.9,1977.7,455.5,833.5,1004.8,1305.5
"yjbR",741.2,1066.8,2139.2,2710.8,460.6,1132.4,1776.8,2004.3,350.6,193.6,1060.4,570.1,320.3,367.8,639.1,2318.9,375.5,618.6,1551.1,1706.1,442.5,655.5,1005.4,1221.5
"uvrA",373,375.7,634.5,441.8,348.1,560.6,354.7,617.6,113.5,65,213.8,134.3,422.4,318.1,317.6,524.2,393,325.6,474.3,592.9,119.4,139.9,165.1,307.4
"ssb",4188.9,3295.3,3470.1,2570.1,10837.7,6552,4996.3,3124.5,1272.8,1300.7,1335.1,671.5,5088,4795.5,3174,4653.4,4292.4,6182.9,5952.9,4077.4,2015,1173.3,1131.1,1209.9
"yjcB",3886.9,335.4,121.6,244.4,2100.9,230.6,181.2,225.8,247.3,33.2,14,97.2,1239.5,322.9,125.6,228.3,186.3,61.3,53.3,164.1,106.3,314.1,60.7,148.7
"pdeC",68.3,226.3,238.6,217.1,36.3,375,488.2,416.8,8.4,42.2,187.2,126.1,130.8,106.6,113.2,451.5,80.1,168.2,313.9,403.9,111.5,79.9,235,215
"soxS",253,469.5,290.2,67.8,153.1,269.9,195.9,207.3,32.4,83.1,145,43.1,217.4,173.1,271,188.3,152.6,260.4,43.5,103.9,38.1,51.5,75.7,100.7
"soxR",302.7,323.3,320.4,418,193,310.8,232.1,353.3,46.5,62.3,94.7,102.3,245.7,225.1,155.6,405.2,195.1,234.4,287.3,178.7,112.6,98.8,119.7,152.9
"ghxP",228.2,178.1,153.3,376.6,268,481.7,41.8,176.2,126.8,123.7,117,67.8,192.1,297.5,406.5,159.6,597.8,219.1,62.5,182.9,179.3,93.2,120.4,61.1
"yjcE",316.3,422.4,1010.4,718.6,298.5,879.1,721.1,462.9,93.8,108.5,392.8,166.5,213.6,483,449.4,523.6,478.8,372.2,576.1,433.1,322.2,267,291.2,196.5
"yjcF",34.4,38.1,33.2,33.6,23.4,15.5,47,29.1,1.9,0.7,3.4,6.5,40.6,7.2,11.5,10.8,6.9,4.8,5.4,53,8.8,5.2,2.5,2.3
"actP",254.7,170.9,164.6,165.2,215,175.4,111.2,146.8,43,33.1,43.9,28.7,236.5,162.4,238.1,120.3,236.8,131.5,127.5,191.7,43.1,39.2,67,21
"yjcH",34.3,69.5,71.4,18.2,57.2,65.9,11.9,14.3,1.2,3.4,3.2,6.6,11.4,10.3,23.3,11.3,48.5,116.3,26.9,34.8,6.5,0.9,3.4,7.7
"acs",168.7,145.5,44.8,195,90.8,178.6,60.9,93,24.3,26.5,13.7,10.1,75.6,92.3,117.9,136.4,44,77.8,118.9,96.1,23.8,9.6,45.9,24.3
"nrfA",280.8,351.9,1771.6,527.2,190.5,441.6,452,243.4,106.2,107.1,159.1,105.5,261.1,523,299.7,292.9,323.1,449,248.8,256.3,139.3,131.1,107.1,94.5
"nrfB",51.2,59.3,761.9,111.7,20.8,227,47.2,16.9,33.5,25,28,14.5,31.8,45.3,78.3,86.2,137.6,136.3,23.7,28.6,58.5,11.5,37.1,13
"nrfC",66.4,130.7,803.1,143.5,38.6,274.4,106,43.6,6.4,18,8.2,4.9,25.8,22.4,35.2,133.7,91.2,116.8,44.4,108.7,12.7,11,33.9,16.1
"nrfD",274.5,415.9,991.4,587.4,244.8,492.5,367.8,386.9,113.9,89.2,156.3,90.9,254.8,244.8,259.8,476.1,376.9,465.8,292.4,273.2,102.2,103,111.2,101.5
"nrfE",86,118.4,257.9,121.5,72.9,141.7,27,20.5,11.8,33.5,15.1,20.2,83.8,20.7,79.5,99.1,85.5,27.1,19.1,27.9,52.1,38.6,43.8,37.7
"nrfF",191,212.2,406.2,42.6,95.8,221.3,20.6,27.9,20.8,51.8,53.1,10.2,118.4,171.5,157.2,139,103.4,39.2,49.1,45.5,89.7,13.7,68.8,52.8
"nrfG",123.3,209.9,392.1,159.7,114.8,157.2,35.8,39.2,35.6,6.7,101.6,22.8,100.2,153.9,107.7,99.9,82.9,131.2,21,81.7,39,82,41.6,9.3
"gltP",330.3,260.8,500.8,409.1,239.5,342.1,184.6,117.7,129.4,110.7,263,104.2,1226.1,759.3,726.2,173.5,769.3,370.8,313.8,298,418.1,209.3,128,91
"yjcO",283.1,408.8,479.7,252.9,210.7,228.6,205.4,268.3,17,30.1,33.2,86.7,134.3,174.9,282.4,265.1,86.9,227,142.1,156,26.5,175.5,119.6,86.7
"fdhF",259.5,268,310.3,413.2,465.8,516.6,403.8,429.6,66.9,78.9,131.7,74,176.2,278.8,250.4,260.1,393.2,334.8,317,348.9,104,117.9,89.6,101.6
"mdtP",50.5,35.8,29.9,84.2,49.1,337,45.4,264.7,10.1,18.4,22.3,8.4,45.5,47.7,41.2,57.3,100.8,65.5,186.2,89.2,15.7,11.5,35.1,24.5
"mdtO",396.1,343.4,191.4,839.4,357.8,752.9,386.3,463.2,113.6,137.7,190.9,88.3,296.2,462.3,355.8,300.7,298.2,445.3,273.5,631.5,170.2,163.6,144.9,108.2
"mdtN",106.6,178.6,54.2,81.9,145.9,309.7,12.8,34.9,26.2,15.3,43.1,5.4,163.6,161.1,129.4,58.2,74.4,45.4,89.2,36.4,54.8,39.3,52.9,32.5
"yjcS",620.5,562.4,140,581.3,368.6,596.7,186.3,380.7,264.4,104,328,146.7,447.6,501.7,311.8,377.4,426.4,540,347.4,468.9,176.9,250.5,132.9,92.6
"alsK",128.7,155.2,30.6,272.1,56.7,308,207.3,116,48,10.9,301.8,84.4,73.6,95.6,88.2,157.5,176.6,42.6,60.9,33.6,133.3,104.2,127.8,57.7
"alsE",210.9,231.3,12.7,28.3,105.6,452.4,281.1,142.2,58.7,60.2,339.5,48,225,263.4,189.7,241.7,217.1,251.6,187.9,214.7,140.9,85.1,119.9,72
"alsC",148.3,193.6,36.4,134.4,183.7,370.1,158.7,116,48.5,34.9,169.2,32.3,27.6,28.1,73.9,133.7,141.7,254.2,190,229.4,83.6,77,58.6,33.5
"alsA",141.4,170.4,107.7,348.8,161.3,437.8,217.2,139.2,40.8,47.2,164.9,18.7,66.3,182.2,154.8,140.6,240.8,203.6,263.7,120.9,89.7,24.6,52.2,9.4
"alsB",213.8,328.3,207.1,314.9,192,716,742.4,250.7,96.2,70.2,444.5,57.2,207,183.6,197.1,190.9,302.6,256.4,514.4,296.2,169.8,143.7,146.9,77.7
"alsR",375.1,1054.7,575.4,292.8,258.1,776.2,1133,219.4,299.6,118.3,582.3,102.1,297.5,442.5,419.5,165.7,421.7,235.5,504,52.9,505.3,333.8,266.1,159.1
"rpiB",285.1,495,410.6,434.2,313.9,844,742.5,399.2,276.2,106.4,439.8,171.2,254,332.5,283.3,288.1,488.6,320.7,464.9,536.5,363.3,188.5,131.6,123.2
"phnP",225.8,317.1,612.8,229.2,114.4,356.2,177.1,279,76.1,49.1,259.7,116.1,84.9,120.1,165.5,241.7,150,45.4,190.5,284.5,73.2,175.6,144,248.9
"phnO",397.6,570.4,1030.1,587.8,136.5,382.9,461.9,699.1,117.2,94.4,439.4,155.4,282.1,389.9,249.3,786.9,229.4,380.5,480.2,795.2,154.3,237.2,288.5,384.4
"phnN",258.7,321.8,382.4,433.5,361.1,604.6,490.2,532.7,81.4,88,166,81,183.1,296.2,184.5,411.9,337.5,380.9,541.4,511.9,81.3,137.7,112.2,135.2
"phnM",77.1,129.9,228.1,108.1,17.2,199,48.1,38.8,28.4,25.1,78.8,23.7,88.4,37.3,44.3,40.3,53.7,28.9,77.1,108.6,11.6,32.1,53,7.4
"phnL",135.9,153.4,189.2,117,228.8,499.8,235.5,114.7,14.4,18.3,98.6,54.7,105.3,108.9,145.5,99.6,197,183.6,213.7,553.8,30.4,40.7,84.1,71.7
