"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"yfdT",NA,NA,NA,NA,NA,NA,NA,NA,2.2,11.6,14.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,20.1,8.2,36.6,17.3
"dsdC",69.6,173.4,147.5,124.4,158.3,129.2,141.6,172,8,5.9,62.6,18.1,17.9,81.7,92.6,91.5,118.3,91.9,66.9,137.1,157.8,15.2,88.5,26.2
"dsdX",12.1,166.8,127.6,34.4,29.8,63.6,20.3,39.2,41,3.8,37.4,3.1,22.7,84.1,18.8,199.9,17.5,14.6,17.5,20.4,683.3,5.6,24.8,4.5
"dsdA",172.2,186.1,264.6,94.1,193.2,177.7,222.9,258.8,76.2,30.3,112.4,23,120.5,104.2,86.9,119.1,196.7,118.9,263,164.2,742.6,60,57.9,39.9
"emrY",142,117.5,72.1,165.2,87.3,119.3,142.3,94.6,16.3,13.2,16.1,16.1,108.6,85.1,48.8,86.8,92.7,76.4,116.1,123.6,43.3,23,34,23
"emrK",74.8,118.4,75.9,141.8,58.4,101.6,52.7,69.7,42,14.9,39,17.1,46,84.7,68.8,43.8,86.8,61.3,19.3,20.1,23.4,33.2,22.3,17.9
"evgA",311.5,238.6,330.5,127.2,195.6,233.7,153.7,55.5,98.5,102.1,206.8,77.5,348.8,239.6,149.3,115.4,221,179.4,143.5,37.7,365.1,274.2,230.7,108.9
"evgS",62.6,81.6,79.2,59.6,28.8,74.9,11.6,41.5,2.6,9.4,35.4,24,22.8,63.5,71.4,71.7,123.6,97.8,73,55.8,28.3,32.2,52.9,13.1
"yfdE",81.9,110.7,76.2,145,81.3,160.1,10.7,101.5,22.9,11.8,105.4,59.7,36.3,45.7,37.5,194.1,58.5,57.4,99.9,26.9,23.1,36.5,57.9,53.2
"yfdV",NA,NA,NA,NA,NA,NA,NA,NA,19.3,10.3,12.4,34,NA,NA,NA,NA,NA,NA,NA,NA,15,6,51.7,14.1
"oxc",NA,NA,NA,NA,NA,NA,NA,NA,47.2,22.4,71.5,40.6,NA,NA,NA,NA,NA,NA,NA,NA,31.9,71.1,37.5,18.4
"frc",NA,NA,NA,NA,NA,NA,NA,NA,3.1,8,6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3.4,4.1,6.7
"yfdX",NA,NA,NA,NA,NA,NA,NA,NA,80.9,33.2,56.1,49.1,NA,NA,NA,NA,NA,NA,NA,NA,36.1,66.6,52.4,34
"ypdI",NA,NA,NA,NA,NA,NA,NA,NA,3.1,1.7,5.8,20.9,NA,NA,NA,NA,NA,NA,NA,NA,5.2,13.9,22.1,6.7
"yfdY",NA,NA,NA,NA,NA,NA,NA,NA,157.2,82.9,999.1,563.1,NA,NA,NA,NA,NA,NA,NA,NA,295.5,437.9,551.4,629.5
"lpxP",2387.6,347.8,139.7,928.9,1837.3,1598.3,175.1,587.1,1297.7,397,293.1,626,666,670.4,391.5,150.5,1388.2,1016.4,469.9,491.2,1232.2,1435.7,270.5,868.6
"alaC",NA,NA,NA,NA,NA,NA,NA,NA,153.9,103.4,366.8,191.8,NA,NA,NA,NA,NA,NA,NA,NA,338.2,349.9,241,202.1
"pyrS",NA,NA,NA,NA,NA,NA,NA,NA,59.3,52.8,258.3,162,NA,NA,NA,NA,NA,NA,NA,NA,129.5,165.4,183.3,201.2
"pyrR",NA,NA,NA,NA,NA,NA,NA,NA,83.5,45.7,275.8,189.2,NA,NA,NA,NA,NA,NA,NA,NA,156.4,170,274.7,203
"ypdC",NA,NA,NA,NA,NA,NA,NA,NA,79,65.6,172.2,99.2,NA,NA,NA,NA,NA,NA,NA,NA,116.4,115.4,124.1,114.9
"fryA",NA,NA,NA,NA,NA,NA,NA,NA,108.7,75,157.7,61.6,NA,NA,NA,NA,NA,NA,NA,NA,81.6,84.9,87.8,64.4
"ypdE",NA,NA,NA,NA,NA,NA,NA,NA,27.7,42.9,62.4,31.4,NA,NA,NA,NA,NA,NA,NA,NA,51.6,48.2,46.4,24.7
"ypdF",NA,NA,NA,NA,NA,NA,NA,NA,4.8,12.6,11.1,24.3,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3.8,37.2,16.4
"fryC",NA,NA,NA,NA,NA,NA,NA,NA,81.2,30.3,83.4,52.7,NA,NA,NA,NA,NA,NA,NA,NA,41.2,76.2,73.4,68.6
"fryB",NA,NA,NA,NA,NA,NA,NA,NA,14.3,17.1,78.2,49.2,NA,NA,NA,NA,NA,NA,NA,NA,35.9,7.4,156.4,105.9
"glk",934.6,2802.9,3857.2,2798.7,693.4,2202,2439.2,1752.4,317.9,444.2,805.9,393.8,586.1,2486.4,3182.3,2613.4,1089.9,1590.6,1533.7,1362.9,890.8,519.9,734.3,748.3
"yfeO",NA,NA,NA,NA,NA,NA,NA,NA,26.8,40.9,352,214.3,NA,NA,NA,NA,NA,NA,NA,NA,53.5,135.5,210.4,220.2
"ypeC",NA,NA,NA,NA,NA,NA,NA,NA,2.8,16.4,119.2,100.5,NA,NA,NA,NA,NA,NA,NA,NA,13.5,23.3,143.6,180.4
"mntH",NA,NA,NA,NA,NA,NA,NA,NA,132.8,66.6,478.3,879.2,NA,NA,NA,NA,NA,NA,NA,NA,183.7,329.1,721.8,1941.8
"nupC",1513.3,5169.3,3085,1404.9,1211.6,2120.1,1559.5,1465.8,1942.2,1115.2,887.7,413.6,558.1,2695.9,3599.7,341.8,1963.1,1646.1,789.3,885.4,1341.3,1782.9,972.7,616.6
"pdeA",194.1,245,264.2,409.9,209.9,203.2,147.7,251.9,75.6,88.2,165.8,108.3,275.5,220.2,295.4,175,206.1,296.5,375.4,205.3,126.9,151.4,155.8,100
"alaX",10078.6,6758.8,5029.7,10041.9,29946.4,30965.4,18711.9,4654.7,1272,2505.9,3037,3574.7,23629.6,20588.4,24571.9,21660.2,48576.3,46712,53013.1,23270.7,2872.5,2289.5,3537.6,3428.8
"alaW",9674.4,6574.3,4329.1,9800.9,29753.1,31181.8,17048.1,4236,468.4,3482.9,3340,5728.9,24316,21209.7,23697.4,20999.9,45686.4,46361.5,51532.6,23944,3816.4,1902.6,5313.8,4862.1
"yfeC",276.9,524.1,383,361.6,284.4,523.9,372.3,402.5,105.9,231.3,219.2,166.3,336.1,625.3,615.3,310.7,467,1044,619.4,423,441,203.8,213.7,166.1
"yfeD",339,464.9,232.2,423.5,328.5,590.1,253,156.6,102.8,217,141.3,173.9,500.2,690,546.3,535.9,764.6,712.4,395.6,261.5,569.1,234,235.6,166.4
"gltX",1178.9,696,858.1,842,1516.1,903.2,1326.6,889.8,543,340.3,436.6,255.6,1272.1,1102.7,992.6,478,1178.9,1512.8,1107.2,1043.2,402.7,401.2,319.8,325.7
"valX",18210.1,11388.2,5166.4,9277.1,47493.8,32039.3,27513.2,13687.6,4016,5588.6,2872.7,3254.3,22175,24860.9,21581.7,15050.5,69309.6,42628.6,56562.8,25546.5,5542.3,4627.2,3197.6,2844.4
"valY",18459.4,11982,4799.9,9704.9,48418,31803.4,28124.8,12984.5,4574.8,8355.8,5041.5,4001.5,22082.2,25359.9,21491.2,14523.2,79716,60429.1,64571,25782.2,6417.9,5487.9,5260.2,4882.4
"xapR",392.5,319.8,353.4,331.4,543.6,427.1,296.4,326.5,154.6,97,224.1,164.5,375,338.9,252.3,381.1,332.6,266.1,303.9,248.6,257.6,203.9,175.4,176
"xapB",118.4,189.8,154.5,257.1,20.9,130.1,24.8,184.5,77.6,33.5,127.3,28.4,143.2,183.3,124.5,151.3,138.1,73.7,16.4,149.8,25.3,120.5,31.2,32.7
"xapA",16.3,44.2,60.5,14.9,69.5,137.2,28.6,81.5,10.8,5.7,10.8,15.8,12.7,26.3,6.4,58.1,40.1,100.1,10.6,24.7,6.7,27.7,40,3.4
"yfeN",179.3,266.6,275,559.3,238.3,499,1173.9,1119.5,68.5,84.1,352.8,273.5,135.7,256.7,242.8,818.3,176.2,237.2,764.7,754,90.3,149.9,194.2,209.3
"yfeR",174.8,181.5,107.3,179.6,187.4,314.2,181,229,68.5,13.4,160.9,53.9,174.1,181.4,108.2,247.8,131.9,168.9,390.5,243,42.9,123.2,78.8,36.4
"yfeH",613.2,963.7,615.7,819,378,585.3,396.6,531.4,332.5,139.2,446,276.6,393.3,662.4,417.1,475.5,353.2,434.4,361.3,276.3,206.7,380.2,234.5,194.9
"ligA",534.5,502.6,566.8,1009.7,774.9,732.1,691.7,1314.5,209.4,198.9,330.1,239,723.8,647.7,682.7,658.3,1012.7,742.6,905.4,1255.1,345,308.9,316.1,336.7
"zipA",773.4,788.4,1111.8,806.9,557.3,621,831.9,922.8,204,318.9,604.2,273.3,1552,1272.5,852.3,1232.3,1009.7,1172.2,1387.8,854.5,1139.6,474.8,513.1,408.6
"cysZ",646.5,610.4,282.2,318.4,412.4,400.9,226.1,317.9,276.5,133.5,220.1,104.7,328.8,409.6,335.2,326.5,286,276.7,405.9,315.9,127.5,274.8,160.3,127.8
"cysK",792.9,1019.2,4495,3931.2,1917.7,1028.5,12348.5,3849.7,351.9,2596.5,3326.4,1169.5,468.1,886.7,2779.2,1651.7,248.5,1127.5,3176.8,2637.1,477.8,969.3,2329.8,1619.2
"ptsH",10601.4,11737.3,12938.2,7709.5,12521.2,11265.2,16265.2,10317.4,3695.9,3756.1,4925,1652.8,9453.6,7754.3,10369.8,5310.5,7415.7,12266.5,12054.1,10053.7,4025.1,3870.1,3907.3,2946.6
"ptsI",10449.6,8261.9,15538.9,13971.4,9333.3,6624.9,15670.7,15918.4,3592.5,2543.7,6479.1,4596.2,9089.6,6652.7,8141.8,14332.5,4284.3,7873.1,14363.7,16428.5,3709.9,4639.8,5318.5,5694.4
"crr",5905.8,5128.3,12998.4,8449.1,5869.7,3829,10466.7,7988.8,1633.6,1538.7,4697.5,2081.9,6118.8,4752.1,6003.4,15081.4,3198,4365.7,8259.3,8922.9,2152.2,2272.7,3199.2,3499.5
"pdxK",291.7,473.5,1004.5,230.4,375,537.9,349.5,302.8,102.5,111,225.7,75.6,199.7,418.1,458.9,358.5,207.2,411.9,65.1,40.9,189,179.4,170.5,123.9
"yfeK",121.6,722.3,196.8,120.8,272.7,303.4,140.1,204.6,77,59.5,139.7,151.5,38.3,209.8,185.1,232.5,310.1,65.7,258.7,97.4,77.3,45.5,135,113.6
"yfeS",NA,NA,NA,NA,NA,NA,NA,NA,31.5,32.5,45.1,73.5,NA,NA,NA,NA,NA,NA,NA,NA,81.3,50.4,67.4,44.8
"cysM",549.5,197.1,341.4,370.8,659.7,375.8,1873.2,475.7,118.6,428.8,220.7,129.2,316.7,366.4,537.4,205.9,186,276.3,436.5,346.6,164.2,154,183.8,142
"cysA",219.4,198.3,313.3,883.7,368.4,197.4,2223.3,500.6,90.7,436,351.5,146.5,177.4,216.7,226.9,245.9,46.3,39.9,196.6,97.2,110.2,63,215.8,144.1
"cysW",257.6,284.9,605.6,1163.6,548.7,534.4,1928.8,495.1,82,442.8,427.1,189.2,318.4,272.6,327.9,392.7,67.4,101.7,639.5,167.1,109.7,140.2,322.3,256.1
"cysU",178,216.8,211.8,558.6,460.9,351.8,2345.4,1089.7,33.2,243.9,252.5,159.6,90.9,132.4,142,203.1,227.2,38.5,558,580.2,54.9,30.5,325.1,275.2
"cysP",502.6,414.4,531.1,1223.5,563.2,691.4,1993.4,1237.5,268.9,608.3,1152.4,293.1,461.4,420.5,328.8,505.3,90.2,288.5,983.5,1039.1,234.8,248.9,703,492.6
"ucpA",628.9,1552.7,1614.1,1521.1,442.7,2014.6,1655.9,1085.8,263.7,541.5,726.9,426.2,535.4,801,1435.8,1284.9,1320.2,2457.4,1415.4,839.4,1587.6,408.3,585.5,400.9
"murR",1598.1,2988.3,367,380,1120.6,1162.3,469,311.6,396.5,150,203.6,105.4,1107.1,577,368.7,248.5,293.8,542.8,322.9,258.6,220.2,145.8,132.7,123.1
"murQ",289.4,711.3,304.8,619.5,212,686,479.2,221.2,221.7,112.3,228.6,106.9,241.6,300.9,297.4,330.9,325.6,320,359.5,368.2,162.4,165.7,171.9,132.1
"murP",NA,NA,NA,NA,NA,NA,NA,NA,68.1,31,58.5,34.4,NA,NA,NA,NA,NA,NA,NA,NA,79.7,58,63.1,59.8
"yfeW",NA,NA,NA,NA,NA,NA,NA,NA,221.1,110.3,234.1,162.4,NA,NA,NA,NA,NA,NA,NA,NA,112.1,187.1,152.2,121.4
"yfeX",NA,NA,NA,NA,NA,NA,NA,NA,141.4,185.2,104.8,58.5,NA,NA,NA,NA,NA,NA,NA,NA,204.8,147.2,126.1,78
"yfeY",NA,NA,NA,NA,NA,NA,NA,NA,386.9,329.8,323.6,134.1,NA,NA,NA,NA,NA,NA,NA,NA,518.1,368,263.5,174.6
"yfeZ",NA,NA,NA,NA,NA,NA,NA,NA,231.3,208.7,336.3,270,NA,NA,NA,NA,NA,NA,NA,NA,330.4,385.9,294.1,267.8
"ypeA",NA,NA,NA,NA,NA,NA,NA,NA,306.2,338.1,535.1,450.7,NA,NA,NA,NA,NA,NA,NA,NA,647.1,637.3,818.1,891.8
"amiA",436.4,314.4,141,473.1,409.1,392.1,471.6,488.4,181.4,120.3,240.5,107.1,313.3,291.1,303.9,312.7,275.1,299.9,534.4,369.4,212.6,249,189.2,160.8
"hemF",267.9,268.5,193,119.8,199.9,210.1,93.6,101.6,102.2,78.8,104.3,82.4,190.5,233.6,262.9,190.5,138.8,182.7,78.4,92.7,146.7,162.4,167.9,108.1
"eutR",223.2,277.5,276.5,287.4,151.8,432.3,254.6,290,22.2,51.3,130.4,89.5,148.6,249.4,219.3,236.1,32.9,312.1,90.7,289.4,71,71.7,121.1,76.6
"eutK",NA,NA,NA,NA,NA,NA,NA,NA,117.9,73.8,250.9,83,NA,NA,NA,NA,NA,NA,NA,NA,129.1,175.5,143,126.9
"eutL",NA,NA,NA,NA,NA,NA,NA,NA,49.6,54,174.2,55.7,NA,NA,NA,NA,NA,NA,NA,NA,96,123.9,139.7,77.1
"eutC",222.2,251.3,608.1,231.4,227.4,318.9,401.9,398.9,80.4,102.3,226.5,56.5,139.8,270.8,217.5,182.4,247.8,300.2,348.4,624.8,167.5,168.5,194.3,106.7
"eutB",933,702.2,1016.8,1679.6,615.9,1010.6,564.7,928.6,265.1,279.4,420.4,385.2,656.7,784.8,899.9,563.7,671.6,691.5,647,828.7,352.1,581.5,268.1,287.7
"intZ",NA,NA,NA,NA,NA,NA,NA,NA,82.1,93.8,108.9,118.7,NA,NA,NA,NA,NA,NA,NA,NA,311.9,183.4,126,133.6
"yffL",NA,NA,NA,NA,NA,NA,NA,NA,176.2,63.7,292.3,249.9,NA,NA,NA,NA,NA,NA,NA,NA,130.2,218.6,235.2,167.2
"yffM",NA,NA,NA,NA,NA,NA,NA,NA,13.9,28.2,32.9,33.4,NA,NA,NA,NA,NA,NA,NA,NA,22,17.9,57,35.4
"yffN",NA,NA,NA,NA,NA,NA,NA,NA,5.7,4.8,61.7,35.4,NA,NA,NA,NA,NA,NA,NA,NA,23.1,30.5,40.1,22.9
"yffO",NA,NA,NA,NA,NA,NA,NA,NA,9.2,8.4,151.9,73.6,NA,NA,NA,NA,NA,NA,NA,NA,48.3,67.3,134.1,96.7
"yffP",NA,NA,NA,NA,NA,NA,NA,NA,175.4,74.3,246.4,96.2,NA,NA,NA,NA,NA,NA,NA,NA,100,162.6,109.7,98.4
"yffQ",NA,NA,NA,NA,NA,NA,NA,NA,33.4,15,87.3,37.2,NA,NA,NA,NA,NA,NA,NA,NA,20.2,71.6,57,25.4
"yffR",NA,NA,NA,NA,NA,NA,NA,NA,99.6,84.8,627.2,529.6,NA,NA,NA,NA,NA,NA,NA,NA,118,320,538.1,794.6
"yffS",NA,NA,NA,NA,NA,NA,NA,NA,628.2,306.5,865.2,371.9,NA,NA,NA,NA,NA,NA,NA,NA,904.2,816.2,452.9,292.2
"eutA",NA,NA,NA,NA,NA,NA,NA,NA,6.3,4.9,15.8,13.9,NA,NA,NA,NA,NA,NA,NA,NA,11.8,5.3,18.1,7.7
"eutH",399.1,417.4,488.9,477.2,279.6,633.7,401.9,536,107.4,94.8,187.6,73.4,397.7,440.5,345.2,357,377.7,476.1,586.5,537.1,102.9,151.4,107.8,114.1
"eutG",166.7,166.1,204.2,222.1,248.5,314.7,39.2,162.9,143.2,26.8,133,68.7,151.4,128.2,142.6,132.9,223.1,287.8,151.4,372.6,67.6,114.8,64,33
"eutJ",204.1,208.1,257.3,439.8,337.9,407.8,343.9,259.3,82.3,59.5,136.7,103,248.1,238.8,119.9,127.6,379.5,343.1,480.9,581,82.2,110.7,65.7,49
"eutE",43.6,97.7,50.1,27.8,48,64.9,17.6,42.1,11.4,6.2,12.4,15.1,62.8,68.7,94.1,19.5,51.3,59.6,33.1,28.7,15.8,19.5,21,9.6
"eutN",261.4,324.6,296.2,363.3,133.9,429.3,183.4,208.4,239.7,95.5,277.6,182.2,208.6,291.3,171.6,273.2,86.7,230.2,129.5,208.1,102.5,218.4,94.4,81.4
"eutM",420.9,370.3,569.5,549.3,403.2,736.4,653.5,471,146,112.6,353.5,148.8,418.4,446.8,437.4,217.2,481.1,532.8,783.8,828.1,223.5,205,172.5,135.2
"eutD",285.9,244.7,409.9,401.7,170.3,392.4,206.3,159.2,15,60,150.6,59.3,244.9,339.2,254.9,233.9,49.8,98.4,247.9,141.3,77.4,38.2,150.5,51.5
"eutT",NA,NA,NA,NA,NA,NA,NA,NA,50,40.2,97,27,NA,NA,NA,NA,NA,NA,NA,NA,54.3,50.3,94.2,69.7
"eutQ",NA,NA,NA,NA,NA,NA,NA,NA,59.9,57,162.6,69.7,NA,NA,NA,NA,NA,NA,NA,NA,76.7,89.7,100,76.2
"eutP",NA,NA,NA,NA,NA,NA,NA,NA,32.3,20,108.1,41,NA,NA,NA,NA,NA,NA,NA,NA,39.8,30.1,85.3,71.3
"eutS",NA,NA,NA,NA,NA,NA,NA,NA,47.9,30.4,69.5,45.3,NA,NA,NA,NA,NA,NA,NA,NA,70,56.8,54.8,31.9
"maeB",NA,NA,NA,NA,NA,NA,NA,NA,194.8,569.9,1617.9,530.6,NA,NA,NA,NA,NA,NA,NA,NA,954.5,1473.3,1057.5,412.7
"talA",142.3,417.5,2746.6,2813.7,35.8,559,3430.9,13652.9,100.4,75.8,2015.1,1017.9,95.6,103.9,242.8,5556.2,33.6,576.8,2913.9,11150.7,72.8,555.3,1677.9,2590.4
"tktB",94.8,244.7,1572,2264.6,185,376.6,1977.9,5117.3,41.3,71.4,863.2,604.4,61.5,112.6,272.3,3654.3,46.4,468.9,2358,4288.7,43.5,252.9,1007.3,1459.5
"ypfG",NA,NA,NA,NA,NA,NA,NA,NA,59.8,31.3,40.9,74.5,NA,NA,NA,NA,NA,NA,NA,NA,41.6,67.3,78.2,64.1
"nudK",594.2,676.4,536.9,238.9,463.2,906.5,536.6,192,158.2,106.2,176.4,105.8,298.7,352.8,436.4,147.4,208.4,451.6,337.2,225.4,168.1,201,199.3,121.9
"aegA",269.6,304.4,1042.3,1000,416,589,528.3,490.3,194.7,64.3,327.3,172.7,313.2,321.1,365.4,382.9,485.8,787,358.3,282.6,104.8,265.5,132.7,101.9
"narQ",175.1,147.8,186.6,309.2,157.6,206,236.6,187.7,37.7,40.8,92.5,61.7,97.2,174.2,145,149.6,146.5,275.7,213.7,251.8,77.8,83.8,79.7,56.1
"acrD",194.2,301.6,211.8,378.7,372.1,416.5,65.6,55.8,34,55.5,41.3,15.2,195.4,204.5,246.4,149.2,237.2,357.2,359.1,384.8,73.9,37.4,86.1,42.9
"yffB",404.5,422,620.1,555,318.3,386.4,599.4,579.7,144.5,169.7,236,128.6,644.1,610.3,442.5,437.9,409.3,708.7,468.9,412.4,444,220.1,250.2,133.1
"dapE",225.5,292.6,396.8,576.4,227.6,224.4,502.7,396.8,60.3,57,223.5,190.6,355.9,403.7,362.4,544.9,399.5,454.2,448.9,504.4,217.8,175.2,153.8,125.6
"ypfH",443.3,900.7,719.5,679.6,644.8,838.5,828.1,982.6,146.6,103,304,199.7,382.8,642.7,476.7,921.2,588.4,763.7,875.6,1057,137.4,291.3,242.8,228.9
"tmcA",150.9,194.3,379.4,363,145.5,246.7,298.7,426.1,37.7,30.8,154.3,81.6,125.1,201.8,136.7,345.6,175.9,218.7,355.6,368.6,83.5,102.3,185,128.4
"ypfJ",NA,NA,NA,NA,NA,NA,NA,NA,179.7,127.1,522.5,372.2,NA,NA,NA,NA,NA,NA,NA,NA,228.8,292.6,474.3,421.5
"purC",803.5,889.9,479.1,877.5,674.8,1051.3,523.2,319.2,588.9,306.5,488.4,250.7,456.9,886.9,748.8,255.9,920.8,533.1,744.1,462.9,390,506.3,267.9,120.1
"bamC",3084.9,2884.2,1788.9,1413.5,3012.3,2679.2,2046.7,1257.4,917.8,812.9,1096.6,475.2,2011.3,2654.5,2382.7,769.4,3325.6,2204.6,1443.1,917.5,1290.5,1229.7,731.2,481.2
"dapA",4966.4,5616.3,3133.6,2122.7,7195.5,6770.1,3908.3,3493.1,1271.1,1431.9,1197.6,772,2723.6,5168.8,2973.8,1739.8,2168.1,2776.5,2488.3,2415.3,2533.2,1577.9,1390.8,1021.5
"gcvR",710.1,1143.4,1462.7,1131.6,534.4,1389.9,2042.9,2038.4,302.2,296.6,1378.9,539,551.1,961,752.4,1316.6,696.5,892,1045.4,1220.8,941.3,1054.4,1133.5,770.6
"bcp",2967.4,2387.5,2131.7,1431,4687.6,4030.7,4543.9,2476,1121.1,666.2,1539.7,756.1,2877.2,3172.9,2425.1,824.1,3110.8,3791.7,2417,1630.6,1898.1,1776.1,1140,500.1
"hyfA",32.3,71.6,34.7,28.5,27.7,147.6,17.2,15.6,5.2,9.8,9.8,4.3,27.6,27.1,16.4,16.1,40.1,39.7,51.3,35.3,10.6,8.1,35,9.1
"hyfB",34.3,34,34.1,27.4,34,145.3,32.6,27.2,5.2,9.4,10,4.6,27.5,26.9,20.4,18.5,55.8,23.8,45.7,50.1,12.7,7.5,10.6,4.4
"hyfC",65.6,45.6,65.6,141.6,105.7,78,10.2,26.5,4.5,5.1,21.6,20.3,16,27.4,39.9,43.1,76.5,35.2,111,144.9,9.1,7,16.6,11.6
"hyfD",41.1,47.4,33.7,87.1,39.2,50.3,24.6,23.7,6.8,9.6,10.8,4.7,61.8,37.2,47.8,36.1,23,24,36.6,43.6,13.9,11,18,7.1
"hyfE",186,188.7,161.8,137.6,301.8,444.1,203.7,248.7,87.6,42.5,100.9,57.8,161.7,103.1,124.9,128.2,252.1,270.4,488,311.3,56.9,139.1,73.6,45.9
"hyfF",68,136.8,131.2,235.3,106.2,358.1,224.4,271.6,40.3,42.5,80.6,40.8,60.3,37.2,72.8,155.1,243.8,71,301.5,200.7,58.7,69.7,53.9,91.7
"hyfG",83.5,20.3,92.7,52.7,30,143.5,20.2,28.8,5.7,4.7,15.4,7.8,18.4,24.4,24.2,21.1,24.2,21.3,20.8,49.5,11.1,11.2,11.7,14.2
"hyfH",144.4,172.4,219.2,349.8,177.5,427.4,197.5,263.2,57.1,54.4,141.8,56.3,100.5,165.9,154.9,203.7,208.3,202.7,174.6,378,58.9,97.9,113.8,74.7
"hyfI",197.6,201.7,195.9,202.2,501.9,462.3,477.6,638,35.7,87.7,72,67.5,332,241.7,193.9,192.6,222.7,728.6,688.6,676.7,93.1,63.4,99,109.8
"hyfJ",NA,NA,NA,NA,NA,NA,NA,NA,65.4,55.2,145.2,89.4,NA,NA,NA,NA,NA,NA,NA,NA,76.4,154.6,118.9,83.9
"hyfR",153.1,156.9,133.5,288.7,193,403.8,117.1,151.3,58.6,46.9,129.5,81.3,139.9,163,125.4,112.8,150.2,168.5,113.2,288.9,80,88.4,72.2,55.2
"focB",307.1,166.3,188.6,213.1,215.3,433.4,94.4,104.6,25.7,38.2,47.4,39.7,169.6,131.5,117.7,111.5,39.2,122.1,37.2,50,76.4,82.6,76.5,72.1
"yfgO",275,314.2,232.7,124.6,275.9,304.4,239.9,185.7,73.8,85.8,32.2,47.1,217.9,196.5,168,60.4,157.3,261.8,366.9,210.6,109.8,119,75.8,72
"bepA",NA,NA,NA,NA,NA,NA,NA,NA,139.3,155.4,773,255.4,NA,NA,NA,NA,NA,NA,NA,NA,275.7,341.1,532.2,372.1
"yfgD",NA,NA,NA,NA,NA,NA,NA,NA,213.7,210,421.9,214.9,NA,NA,NA,NA,NA,NA,NA,NA,364.3,295.9,319.6,237.5
"hda",NA,NA,NA,NA,NA,NA,NA,NA,219.4,292.4,245.8,199.2,NA,NA,NA,NA,NA,NA,NA,NA,371.6,391.1,234.8,182
"uraA",605.3,216.1,94,53.6,313.1,210.1,29.4,22.6,24.3,124.4,12.3,8.9,637.9,412.8,273.1,39.5,260.9,84.4,34.1,38.8,127.9,21,41.7,9.8
"upp",3564.4,2701.6,1168.2,286,1881.2,1067.1,1322.8,317.4,639.3,939,299.5,67.1,3305.3,2172.4,1001.4,250.1,653.6,1058.7,342.8,406.3,646.2,507.6,167,115.8
"purM",406,340.8,157.7,385.9,269.7,295.2,197.3,129.5,409.1,155.7,195.6,116,339.8,407,470.7,122.1,1076.9,288.7,181.5,87.4,251.8,227.2,137,61.7
"purN",899.7,595.7,236.4,332.6,612.6,657.6,490.9,515.3,644.7,258.9,323.3,173.7,837.4,832.1,473.1,336.9,1075.7,478.3,493.5,470.9,536.7,533.1,206.3,152.8
"ppk",346.3,561.8,667.4,555.7,178.6,346.9,464.8,783.6,227.2,114.3,442.7,300.5,346.6,365.6,388.5,411.4,261,241.3,428.9,626.3,222.4,420.2,333,321.6
"ppx",332,350,541.5,310,316.9,319.5,398,499.3,172.9,135.9,273.7,248.8,325.7,343.2,424.9,264.5,373.3,318.1,416.2,435.9,269.9,407.1,288.4,282.8
"pdeF",NA,NA,NA,NA,NA,NA,NA,NA,20.7,16.5,18.2,29.1,NA,NA,NA,NA,NA,NA,NA,NA,26.9,15.5,44.5,31.3
"yfgG",NA,NA,NA,NA,NA,NA,NA,NA,221.7,385.6,1023.9,1904.2,NA,NA,NA,NA,NA,NA,NA,NA,768.5,764.1,1775.4,1598.2
"yfgH",NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.3,4.9,17.4,NA,NA,NA,NA,NA,NA,NA,NA,10.1,23.8,51.6,5.9
"yfgI",NA,NA,NA,NA,NA,NA,NA,NA,11.3,39.8,12.5,26.6,NA,NA,NA,NA,NA,NA,NA,NA,53.7,13.7,72.6,53.5
"guaA",1145.9,884.8,381,441.6,1514.4,543.6,257.4,664.6,2041.4,470.3,128.1,136.1,1223.1,1246.7,797.8,145,1214,522.8,214.3,264.9,437.5,398.4,157.4,349.8
"guaB",1473.4,950.1,256.5,528.1,3636.2,270,89.7,709.1,2867.3,571,136.9,302.4,1292,1694.2,967.7,248.4,2049.6,405.7,59.4,542.8,354.8,548.5,254.3,456.7
"xseA",563.8,317.5,105.8,635.9,710.4,401.7,367.9,668.2,138.8,132.3,33.8,185.1,729.1,413.1,357.3,93.6,622.7,487.2,440.7,765.2,275.8,256.1,148.8,357.6
"yfgJ",NA,NA,NA,NA,NA,NA,NA,NA,110.3,54,126,144.8,NA,NA,NA,NA,NA,NA,NA,NA,96.9,141.6,155.5,204.9
"der",NA,NA,NA,NA,NA,NA,NA,NA,268.7,131.4,243.9,179.3,NA,NA,NA,NA,NA,NA,NA,NA,227.7,282.8,239.3,364.5
"bamB",NA,NA,NA,NA,NA,NA,NA,NA,558.8,459.1,620.7,657.5,NA,NA,NA,NA,NA,NA,NA,NA,738.4,783.4,711.6,1251.3
