"","0","1200","1200 | 1","4800","8400","12000","19200","0 | 1","0 | 2","1200 | 2","4800 | 1","8400 | 1","12000 | 1","19200 | 1"
"1.1.6.4",0.359238885522102,1.04021396389356,1.01699543192168,0.983310240661662,1.23323409069347,1.15508467806348,0.970800727008167,0.873159484223055,0.812789394689819,0.87463918582552,1.04845012300106,0.925898805263769,0.891379726595223,0.884196773553705
"qorB",0.495312313831643,0.926909135418603,0.714084268166273,1.00461937355225,1.07211649948067,1.46377793029271,1.05230557414211,1.75609354310449,1.37603055720106,0.891107660042121,1.03830188104105,1.21111562881603,1.08279648547902,0.985280326032078
"1.1.6.6",0.924187565513764,0.960174904652855,1.15227040588626,0.981919982507717,0.80582440702842,1.29037536957784,1.00510729916055,0.227252774134806,1.13254556226047,0.98982004441304,0.989573756050064,1.0987573163912,0.926827474102062,0.90452072916471
"fimE",1.15017043100998,1.0984556345303,1.14325303018174,1.07022200660789,0.826002085330672,1.0531438930542,0.854542902719224,1.00109657531611,0.852851264171212,1.09701080224323,0.900840680647678,0.914722310113525,0.905523526133792,0.972663885230408
"1.1.6.8",1.05992965959838,1.09366785067325,0.989146445249167,0.991516065710825,1.08784775077195,1.01712127420301,1.26022356669176,0.680125448610875,0.934827825350853,1.0353319066663,1.03371151287107,0.993633772435002,1.02018136337267,0.851933100545743
"aceK",0.943180238879591,0.693533555106926,0.859110060602989,0.754275730095634,0.910864363556941,1.23679113796074,0.998847627326868,0.900944922177307,0.756087256046438,0.880374933041203,0.932847952211141,0.870958204126701,0.949120591422449,0.811556015770739
"1.1.6.10",0.961647351372564,0.71800949620858,0.578528551104763,0.790445091531235,0.84078412040824,1.21035813311744,1.02222032491907,0.585288495388513,0.683018187302703,0.953767476672652,0.90762694469197,0.898433110284703,0.951122907201797,0.841811506648607
"eptA",1.07594821337952,1.00694704534767,1.11852537506205,1.0513751439504,0.580650075881196,1.27465188562421,1.25452594882348,1.00695133922216,0.921896596137684,1.07455149372266,1.15843922393723,1.19267153948224,1.09171267569219,1.13388216837909
"1.1.6.12",1.03012612521278,1.0229983860544,0.720280805469353,1.07475533294209,0.566789644921751,1.35767941660309,1.28159445602314,1.10253225577054,1.1060059953184,1.07007234941928,1.17919445051579,1.10698358104665,1.12555430837984,1.1089037210177
"ytfI",1.00034389547056,1.0655277253756,1.05980842182964,0.976235838191883,1.45596914281376,0.85909732079046,0.932289036869197,0.114634195433043,0.834520803136599,1.13598818108332,1.0495592257481,0.915154775587363,0.906306115603761,1.18737820666498
"1.1.6.14",0.892119925956928,1.17276920234098,1.63038820215745,1.01629076133813,1.348201057527,0.934091481993713,0.867730872493937,0.86226965579119,0.889142497055475,1.34966531082797,1.04486760917266,0.944120945968002,0.878489420306527,1.17123208110779
"fimD",1.24452086326736,1.03421414580068,0.947382212447933,0.987907049789892,0.592606507932471,0.826808585638187,1.05188719976635,0.72901241105378,1.11973209805721,0.982014376783992,1.07526024780269,0.956709641734455,1.0949329054086,1.02900432498229
"1.1.6.16",1.26462446518579,1.01359456659448,0.808907552998801,0.965826206566585,0.542721600997486,0.813041824813023,1.0855341532723,0.741376558200635,1.12015229090901,0.867285925212934,1.01419138945304,1.01782952256557,1.06547750913628,1.02736234931118
"gpmM",0.992894323501589,1.19254516654034,1.43911935640274,0.824974004573583,0.898050597535411,0.809464271657233,1.08512625594128,0.60758499440888,0.839915013612,1.09926385558379,1.21042322781135,1.01855710945043,0.617996119778608,0.831671472204279
"1.1.7.2",0.864086216250025,1.1549599493155,1.47885925626439,0.844292543561759,1.12690950545658,0.837682608785552,1.03507351625509,0.72977088889411,1.08216685970967,1.04748374488827,1.07805041181329,1.08400485259988,0.851282261582384,0.942753778025949
